"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"woonkantoor";"Woonkantoor Binnenstad";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";;;;"4.4120278";"51.2202555"
"woonkantoor";"Woonkantoor Centrum";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";;;;"4.4336834";"51.2125552"
"woonkantoor";"Woonkantoor Deurne";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";;;;"4.4496366";"51.2120423"
"woonkantoor";"Woonkantoor Noord";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";;;;"4.4367483";"51.2259922"
"woonkantoor";"Woonkantoor Zuid";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Abdijstraat 253";"2020";"Antwerpen";"4.3873068";"51.1863349"
"woonkantoor";"Woonkantoor Ekeren";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Veltwijcklaan 31";"2180";"Antwerpen";"4.4253355";"51.2787229"
"woonkantoor";"Woonadvies Berendrecht";"Inwoners van Berendrecht, Zandvliet of Lillo kunnen in het districtshuis terecht voor al hun vragen over wonen in Antwerpen. Elke eerste dinsdag van de maand houdt woonkantoor Ekeren er tussen 9 en 12 uur spreekuur. Elke derde dinsdag van de maand is er mogelijkheid om op afspraak woonadvies te krijgen.";"Antwerpsebaan 140";"2040";"Antwerpen";"4.3213965";"51.3433473"
