"id";"naam";"straat";"huisnummer";"postcode";"district";"begindatum";"toestellen";"financiering";"opmerking";"x_coord";"y_coord";"point_lng";"point_lat"
"EK/18/04";"Van de Weyngaertplein";"Van De Weyngaertplein";"over 28";"2180";"EKEREN";"1996-01-01T00:00:00";"";"Lokaal";"";"154837.51300000001";"220421.04300000001";"4.4381148850000613";"51.293620571000076"
"BE/60/14";"Schelpstraat";"Schelpstraat";"links nr 2";"2600";"BERCHEM";"2001-07-01T00:00:00";"";"Lokaal";"";"154352.17600000001";"210148.818";"4.4310312130000398";"51.201294691000044"
"BE/60/12";"Hof van Nauwelaerts";"Lodewijk Van Berckenlaan";"over 131";"2600";"BERCHEM";"2000-02-01T00:00:00";"";"Lokaal";"";"155255.46900000001";"209741.755";"4.4439488750000464";"51.197628162000058"
"DE/10/10";"Arenaweide";"Arenaplein";"56";"2100";"DEURNE";"2001-04-01T00:00:00";"";"Boven lokaal";"";"156352.43700000001";"210695.04699999999";"4.4596591920000606";"51.206185588000039"
"HO/66/08";"Harold Rocherstraat";"Harold Rosherstraat";"";"2660";"HOBOKEN";"1997-06-01T00:00:00";"";"Lokaal";"";"148418.72200000001";"208056.87599999999";"4.3461481930000332";"51.182506437000029"
"ME/17/12";"Krokusstraat";"Krokusstraat";"achter 2 t";"2170";"MERKSEM";"1996-01-01T00:00:00";"";"Lokaal";"";"154814.16399999999";"215411.29300000001";"4.4377122250000411";"51.248592071000076"
"ME/17/15";"Rode Loop";"Rodeloopstraat";"2";"2170";"MERKSEM";"2000-02-01T00:00:00";"";"Lokaal";"";"155098.584";"215591.856";"4.4417882180000561";"51.25021253500006"
"ME/17/08";"Winterling";"Winterling";"46 t/m 66";"2170";"MERKSEM";"1996-01-01T00:00:00";"";"Lokaal";"";"154224.90900000001";"214549.45000000001";"4.4292627620000644";"51.240850268000031"
"BE/60/10";"Apolloplein";"Apollostraat";"over 53";"2600";"BERCHEM";"1997-01-01T00:00:00";"";"Lokaal";"";"155394.77100000001";"209821.31599999999";"4.4459429530000421";"51.198341987000049"
"WI/61/14";"Pierebeekstraat";"Pierebeekstraat";"over 16";"2610";"WILRIJK";"2001-04-01T00:00:00";"";"Lokaal";"";"151614.01199999999";"207814.44899999999";"4.3918445660000316";"51.180326785000034"
"WI/61/10";"Frans Nagelsplein";"Frans Nagelsplein";"over 2";"2610";"WILRIJK";"2001-03-01T00:00:00";"";"Lokaal";"";"151601.677";"207102.51999999999";"4.3916648480000617";"51.173927613000046"
"WI/61/08";"Edenplein";"Edenplein";"over 17";"2610";"WILRIJK";"1996-01-01T00:00:00";"";"Lokaal";"";"151452.995";"204791.64799999999";"4.3895290460000638";"51.153156537000029"
"WI/61/07";"Egied Segerslaan";"Egied Segerslaan";"rechts van";"2610";"WILRIJK";"1999-05-01T00:00:00";"";"Lokaal";"";"150498.20600000001";"207399.04999999999";"4.3758869140000343";"51.176595167000073"
"WI/61/06";"Rooiboslaan";"Rooiboslaan";"over snijp";"2610";"WILRIJK";"1996-01-01T00:00:00";"";"Lokaal";"";"150942.62";"207355.51800000001";"4.382241782000051";"51.176203254000029"
"WI/61/05";"Planetariumlaan";"Planetariumlaan";"over 149";"2610";"WILRIJK";"1996-01-01T00:00:00";"";"Lokaal";"Heraanleg op 10-11-2011";"151502.421";"205026.171";"4.3902364960000568";"51.155264443000078"
"WI/61/02";"Sint Camillusstraat";"Sint-Camillusstraat";"over 71 -";"2610";"WILRIJK";"1996-01-01T00:00:00";"";"Lokaal";"";"152032.14799999999";"206788.49299999999";"4.3978182720000518";"51.171103540000047"
"WI/61/03";"Rendierstraat";"Rendierstraat";"naast 21";"2610";"WILRIJK";"1996-01-01T00:00:00";"";"Lokaal";"";"153692.40100000001";"207226.375";"4.4215611710000644";"51.175030985000035"
"WI/61/04";"Boeksveldstraat";"Boeksveldstraat";"over 32 /";"2610";"WILRIJK";"1999-09-01T00:00:00";"";"Lokaal";"";"151430.74400000001";"206071.65700000001";"4.3892163800000503";"51.164662098000065"
"WI/61/09";"Bernard de Pooterstraat";"Bernard De Pooterstraat";"18";"2610";"WILRIJK";"1999-04-01T00:00:00";"";"Lokaal";"";"150838.97200000001";"206497.359";"4.3807574630000659";"51.168489811000029"
"HO/66/09";"Cooperatielaan";"Co̦peratielaan";"over 13";"2660";"HOBOKEN";"1997-04-01T00:00:00";"";"Lokaal";"";"150004.84";"207358.97500000001";"4.368831913000065";"51.176235242000075"
"AN/00/04";"Lombardenvest";"Lombardenvest";"";"2000";"ANTWERPEN";"2011-04-01T00:00:00";"";"Lokaal";"";"152456.226";"211948.606";"4.4039179630000262";"51.217483446000074"
"AN/02/09";"C. Huysmanslaan";"Camille Huysmanslaan";"";"2020";"ANTWERPEN";"2002-01-01T00:00:00";"";"Lokaal";"Terrein overgenomen van sociale woonvesting";"151333.40400000001";"208895.00899999999";"4.3878358700000604";"51.190040181000029"
"AN/00/08";"Lode Sebregtsparkje";"Bogaardestraat";"";"2000";"ANTWERPEN";"2007-09-14T00:00:00";"";"Lokaal";"";"152120.79300000001";"211639.19399999999";"4.3991152750000424";"51.214703705000034"
"AN/05/04";"Akkerwindestraat";"Akkerwindestraat";"1";"2050";"ANTWERPEN";"1996-01-01T00:00:00";"";"Lokaal";"";"150876.109";"211812.962";"4.3813025730000277";"51.216269030000035"
"AN/03/06";"Columbiastraat";"Columbiastraat";"rechts 112";"2030";"ANTWERPEN";"1998-04-01T00:00:00";"";"Lokaal";"";"153845.79699999999";"215766.549";"4.4238473300000578";"51.251792636000062"
"BE/60/01";"Leeuwerikpark";"Coremansstraat";"over 20";"2600";"BERCHEM";"2003-01-01T00:00:00";"";"Lokaal";"";"153545.875";"208835.101";"4.4194820750000758";"51.189492007000069"
"BE/60/03";"Brilschanspark H.Prostlaan";"Henri Prostlaan";"over 7";"2600";"BERCHEM";"1996-01-01T00:00:00";"";"Lokaal";"";"154312.40100000001";"208776.66500000001";"4.4304454910000572";"51.188961420000055"
"AN/06/18";"Park spoor noord (grote zandspeelplaats)";"Viaduct Dam";"";"2060";"ANTWERPEN";"2008-01-01T00:00:00";"";"Boven lokaal";"";"153859.00700000001";"213476.64600000001";"4.4240115600000536";"51.231210161000035"
"AN/06/19";"Park spoor noord (aan de Wadi)";"Demerstraat A";"";"2060";"ANTWERPEN";"2008-01-01T00:00:00";"";"Boven lokaal";"";"154172.08300000001";"213275.86499999999";"4.4284913380000717";"51.229403241000057"
"AN/06/21";"Park spoor noord (aan de pingpongtafels)";"Tulpstraat";"";"2060";"ANTWERPEN";"2008-01-01T00:00:00";"";"Boven lokaal";"";"154314.524";"213138.81299999999";"4.4305288430000473";"51.228170298000066"
"WI/61/17";"Monnikenplein";"Monnikenplein";"over 6";"2610";"WILRIJK";"2009-01-26T00:00:00";"";"Lokaal";"";"154302.60800000001";"207245.65700000001";"4.4302868920000265";"51.175199985000063"
"BO/14/15";"M. van Goethemplein";"Monseigneur Van Goethemplein";"10";"2140";"BORGERHOUT";"2009-10-19T00:00:00";"";"Lokaal";"";"155776.50099999999";"210981.307";"4.4514228860000458";"51.208764759000076"
"DE/10/16";"Eikblokstraat";"Eikblokstraat";"over 96";"2100";"DEURNE";"2009-09-07T00:00:00";"";"Lokaal";"";"156557.80499999999";"212660.54500000001";"4.4626337990000593";"51.223849963000077"
"DE/10/15";"Langbaanvelden";"Langbaanvelden";"";"2100";"DEURNE";"2009-08-31T00:00:00";"";"Lokaal";"";"157124.226";"209218.70800000001";"4.4706731820000414";"51.192906441000048"
"DE/10/18";"Bremweide";"Ter Heydelaan";"";"2100";"DEURNE";"2010-09-15T00:00:00";"";"Lokaal";"";"157240.79699999999";"213407.79500000001";"4.4724253940000267";"51.230558248000079"
