"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"akaartlocatie";"Zwembad Sorghvliedt";"Zwembaden & Sport";"Krijgsbaan 20";"2660";"Hoboken";;
"akaartlocatie";"UiThuis Hoboken";"bibliotheken";"Kapelstraat 64";"2660";"Hoboken";;
"containerpark";"Luchtbal";"afvalvoorzieningen recyclagepark";"Noorderlaan  ";"2030";"Antwerpen-Luchtbal";"4.4197936170000389";"51.262784517000057"
"containerpark";"Zandvliet";"afvalvoorzieningen recyclagepark";"Derdeweg  ";"2040";"Berendrecht-Zandvliet-Lillo";"4.3035547930000462";"51.351727594000067"
"containerpark";"Linkeroever (gepland eind 2007)";"afvalvoorzieningen recyclagepark";"Blancefloerlaan  ";"2050";"Antwerpen-Linkeroever";"4.3709620460000451";"51.218260998000062"
"containerpark";"Vroegmarkt";"afvalvoorzieningen recyclagepark";"Kielsbroek  ";"2020";"Antwerpen-Kiel";"4.3714638560000481";"51.198185045000059"
"containerpark";"Hoboken";"afvalvoorzieningen recyclagepark";"Smallandlaan  ";"2660";"Hoboken";"4.3374094020000484";"51.18197570500007"
"containerpark";"Wilrijk";"afvalvoorzieningen recyclagepark";"Kernenergiestraat  ";"2610";"Wilrijk";"4.3877330450000613";"51.160768447000066"
"containerpark";"Berchem";"afvalvoorzieningen recyclagepark";"Arbeidersstraat  ";"2600";"Berchem";"4.437202472000024";"51.194229652000047"
"containerpark";"Borgerhout";"afvalvoorzieningen recyclagepark";"Noordersingel  ";"2140";"Borgerhout";"4.4469474920000494";"51.223965497000052"
"containerpark";"Deurne";"afvalvoorzieningen recyclagepark";"Merksemsesteenweg  ";"2100";"Deurne";"4.4558768660000396";"51.237095624000062"
"cultuur";"cc Berchem";"Cultuurcentrum Berchem is een open cultuurhuis met zin voor onzin, met focus op de buurt, met aandacht voor diversiteit, met liefde voor kunst en met veel goesting om haar programma met zoveel mogelijk mensen te delen.";;;;"4.4225722";"51.1968983"
"cultuur";"Museum Plantin-Moretus/Prentenkabinet";"Het Museum Plantin-Moretus is de enige drukkerij-uitgeverij ter wereld, die bewaard is gebleven uit de renaissance- en baroktijd. Het is de voortzetting van de Officina Plantiniana. Deze werd in 1555 gesticht door Christoffel Plantin, de eerste industriÃ«le drukker uit de geschiedenis.";;;;"4.3989892";"51.2183771"
"cultuur";"cc De Schelde";"Jeugd- en cultuurcentrum De Schelde wordt omgebouwd tot een vrijetijdscentrum. Het wordt Âthe place to beÂ voor jong en ouder om elkaar te ontmoeten en om vrije tijd educatief, speels, sportief of cultureel in te vullen.";;;;"4.3116710";"51.3595502"
"cultuur";"cc Deurne";"Cultuurcentrum Deurne presenteert het hele jaar door een zo divers mogelijk cultuuraanbod. Theater, comedy, boombals, ontbijtfilms, ... het kan allemaal. Ook buitenshuis zijn er heel wat activiteiten zoals Wintervuur en de openluchtconcerten in het Rivierenhof.";;;;"4.4679882";"51.2267709"
"cultuur";"cc De Kern";"De Kern, dat is een theaterschouwburg annex concertzaal op De Bist en Kasteel Steytelinck in het Park. Met een gevarieerd aanbod wil De Kern het kloppende culturele hart van Wilrijk zijn. U kan bij ons comedians aan het werk zien, auteurs horen voorlezen, concerten meepikken en je abonneren op het betere theater.";"Kern 18";"2610";"Wilrijk";"4.3945987";"51.1706775"
"cultuur";"Rubenianum";"Het Rubenianum is een studie- en documentatiecentrum gespecialiseerd in de kunst van de late Middeleeuwen tot de achttiende eeuw, met de nadruk op de Vlaamse schilderkunst van de 16de en 17de eeuw.";"Kolveniersstraat 20";"2000";"Antwerpen";"4.4103696";"51.2171882"
"cultuur";"UiThuis Hoboken";"In afwachting van een eigen cultuurcentrum zit de cultuurwerking van Hoboken niet stil en organiseren ze klassieke concerten, kinderfeesten, camping Louisa en comedyavonden. Ze zetten ook zwaar in op grotere projecten samen met alle cultuurpartners in Hoboken. U kan ze tegenwoordig vinden in het UiThuis, Kapelstraat 64, 2660 Hoboken.";;;;"4.3473635";"51.1749504"
"cultuur";"Museum Vleeshuis";"Het museum Vleeshuis brengt het verhaal over 600 jaar klank, muziek en dans in Antwerpen. Maak er kennis met de stadsmuziek in al zijn facetten. Ook de Antwerpse opera, muziek op kiosken en in concertzalen, huismuziek, instrumentenbouw en dans komen uitgebreid aan bod. Verwacht geen klassiek instrumentenmuseum, maar een levendige reis naar de wereld achter de muziek!";;;;"4.3997862";"51.2230700"
"cultuur";"Zilvermuseum Sterckshof";"Het Zilvermuseum in Deurne heeft het kasteel Sterckshof als thuisbasis. Zoals het een kasteel betaamt, heeft het Sterckshof vele kamers en vooral Âruimte voor zilverÂ. De zilvercollectie gaatvan het heden terug tot de 16de eeuw.";;;;"4.4605190";"51.2145991"
"cultuur";"Red Star Line Museum";"Aan de Rijnkaai op het Eilandje zijn drie havenloodsen bewaard gebleven die eigendom waren van de scheepvaartmaatschappij Red Star Line. De stad heeft de drie loodsen gekocht om ze te herstellen in hun oude glorie. In de loodsen van de legendarische rederij met de rode ster in de vlag opent op 27 september 2013 het Red Star Line Museum.";;;;"4.4029038";"51.2313861"
"cultuur";"Bibliotheek Museum Plantin-Moretus";"De oude bibliotheek van het Museum Plantin-Moretus telt ongeveer 20.000 volumes met werken gedrukt vÃ³Ã³r 1800. Ze bewaart de meest volledige collectie van boeken gedrukt door Christoffel Plantijn en zijn opvolgers, de Moretussen, ter wereld. Het archief biedt een ongekende blik op het uitgeversbedrijf van de voorbije eeuwen. Daarenboven levert de moderne vakbibliotheek alle informatie over de geschiedenis van de drukkunst en het humanisme in de 16de en 17de eeuw.";;;;"4.3991054";"51.2183546"
"cultuur";"Nova-Kiel";"Nova is een fantastische plek waar vier organisaties het mooie weer maken. cc De Kern/Nova, vzw Recht-Op, Buurtsport en Samenlevingsopbouw Antwerpen Stad zorgen samen voor een boeiende werking.";"Schijfstraat 105";"2020";"Antwerpen (Kiel)";"4.3730676";"51.1909020"
"cultuur";"cc Link";"Linkeroever heeft sinds 2009 een cultuurcentrum. Nog wel eentje zonder gebouw, maar alvast met veel goesting. Cultuurcentrum link bouwt voort op de vele culturele activiteiten van een handvol actieve organisaties. Of ze nu een nagemaakte potvis laten aanspoelen op Sint-Annastrand of een groots kunstenfestival als BLOK-BLOC neerzetten in het Europark, kunstenaars en actieve bewoners vormen onze grootste inspiratie voor een eigenzinnig cultuuraanbod op Linkeroever.";;;;"4.3363985";"51.2117628"
"cultuur";"cc Ekeren";"cc Ekeren is een cultuurcentrum in opstart. In afwachting van een eigen locatie zetten zij samen met een groep enthousiaste vrijwilligers her en der in Ekeren fijne projecten en voorstellingen op.";"Kloosterstraat 4";"2180";"Ekeren";"4.4189425";"51.2795825"
"cultuur";"De Roma en \'t Werkhuys";"De Roma en 't Werkhuys vormen samen het Borgerhoutse luik van de Antwerpse cultuurcentra. Het uitgebreide cultuurprogramma van De Roma zorgt voor een enorm aanbod binnen Borgerhout. Verenigingen en kunstenaars kunnen dan weer zalen huren bij 't Werkhuys.";;;;"4.4404176";"51.2137654"
"cultuur";"De Keyserlei evenementen";"Nog even en de De Keyserlei is volledig in het nieuw. De aannemer is tegen eind oktober klaar met de straatwerken.  De maand november is gereserveerd voor het aanplanten van de nieuwe bomen.";;;;"4.4210347";"51.2180455"
"cultuur";"Museum Mayer van den Bergh";"Fritz Mayer van den Bergh (1858-1901) had zijn eigen idee over kunst. Hij interesseerde zich vooral in de werken die in zijn tijd, de 19de eeuw, nog ondergewaardeerd waren en legde daarvan een enorme collectie aan. Dat kunt u vandaag bekijken in het Museum Mayer van den Bergh.";;;;"4.4051097";"51.2151597"
"cultuur";"Letterenhuis";"Het Letterenhuis houdt nauwgezet de waakvlam van de Vlaamse literatuur van de 19de en de 20ste eeuw levend. De romans van Hendrik Conscience staan er aan het begin van een museumverhaal dat eindigt bij het werk van hedendaagse auteurs. Het Vlaamse literaire erfgoed van de 19de en de 20ste eeuw Â handschriften, brieven, fotoÂs Â wordt bewaard in de archiefdepots van het Letterenhuis.";;;;"4.4052767";"51.2228744"
"cultuur";"Rockoxhuis";"Het Rockoxhuis is de 17de-eeuwse patriciÃ«rswoning van burgemeester Nicolaas Rockox (1560-1640). Hij heeft zijn roem grotendeels te danken aan zijn vriendschap met Rubens en aan de opdrachten die hij deze kunstenaar gegeven heeft.";"Keizerstraat 12";"2000";"Antwerpen";"4.4061603";"51.2217913"
"cultuur";"Erfgoedbibliotheek Hendrik Conscience";"De Erfgoedbibliotheek Hendrik Conscience is de bewaarbibliotheek van de Stad Antwerpen. Haar oorsprong gaat terug tot 1481. De bibliotheek beschikt over een rijke historische collectie, die momenteel is uitgegroeid tot circa Ã©Ã©n miljoen volumes.";;;;"4.4043773";"51.2211111"
"cultuur";"KMSKA";"Het Koninklijk Museum voor Schone Kunsten Antwerpen wordt op dit moment verbouwd. Dat betekent dat de collectie niet meer in het bekende gebouw op het Antwerpse Zuid kan worden getoond. Toch blijven de kunstwerken dichtbij en toegankelijk. Op verschillende gastlocaties in Antwerpen kunt u belangrijke onderdelen van de collectie bezoeken. De verbouwing zal duren tot eind 2017.";;;;"4.3934110";"51.2091244"
"cultuur";"M HKA";"Het Museum van Hedendaagse Kunst Antwerpen (M HKA), opgericht in 1987, is een internationaal museum met een eigen collectie en een dynamisch tentoonstellingsbeleid.";;;;"4.3901402";"51.2112971"
"cultuur";"FotoMuseum";"Het FotoMuseum Provincie Antwerpen is een museum met ambitie. Naast haar belangrijke museale taken, behoren initiatieven als portfoliokijkdagen en expertisedagen tot het vaste activiteitenaanbod. Het FotoMuseum geeft een eigen magazine uit.";;;;"4.3877545";"51.2087713"
"cultuur";"Rubenshuis";"Het Rubenshuis is de plaats waar men het dichtst bij de leefwereld van de grootste barokkunstenaar ten noorden van de Alpen komt. In dit paleisachtige decor bracht Peter Paul Rubens 25 jaar van zijn leven met zijn gezin door.";;;;"4.4091201";"51.2173375"
"cultuur";"MAS";"Het MAS vertelt in een indrukwekkend gebouw een vernieuwend verhaal over Antwerpen in de wereld. En over de wereld in de Antwerpen. Onder meer. Want het is ook het kijkdepot, het museumplein, de wandelboulevard, het dakpanorama... Het MAS is een totaalbelevenis.";"Hanzestedenplaats";"2000";"Antwerpen";"4.4050092";"51.2280370"
"cultuur";"ModeMuseum";"Het ModeMuseum of MoMu is een onderdeel van de ModeNatie en stelt ruim 25.000 zaken tentoon als kleding, schoenen, wandelstokken, accessoires, kant, enzovoort. Wisselende thematentoonstellingen moeten het museum dynamiek geven.";;;;"4.3996539";"51.2169650"
"cultuur";"cc Luchtbal";"ÂCultuurcentrum Luchtbal is een culturele oase in het noorden van het district Antwerpen met een hart voor cultuurliefhebbers, verenigingen Ã©n de veelkleurige Luchtbalwijk. Cultuurcentrum Luchtbal verruimt je blik op de wereld (met theater, muziek, expoÂs, cursussen en locatieprojecten).Â";"Columbiastraat 110";"2030";"Antwerpen";"4.4238447";"51.2497081"
"cultuur";"Middelheimmuseum";"Het Middelheimmuseum ligt sinds 1950 in het Antwerpse Middelheimpark. Dit openluchtmuseum, dat in de loop der jaren opmerkelijk werd uitgebreid, gaat prat op een schitterende verzameling moderne beeldhouwkunst.";;;;"4.4160650";"51.1835423"
"cultuur";"co Sint-Andries";"Het cultureel ontmoetingscentrum Sint-Andries (coStA) in de Antwerpse binnenstad brengt een met zorg gekozen cultureel programma. CoStA ondersteunt en versterkt het buurt- en verenigingsleven. Jong en oud zijn welkom om van het diverse culturele aanbod te proeven: een mix van theater, muziek, dans en tal van cursussen en workshops.";"Sint-Andriesplaats 24";"2020";"Antwerpen";"4.3959408";"51.2149079"
