title;address;gisx;gisy
Koninklijk Lyceum Antwerpen;Hertoginstraat 11, 2018 Antwerpen;4.4105576;51.2077431
Groenendaal;Gagelveldenstraat 71, 2170 Merksem;4.4361323;51.2432873
Groenendaal;Stella Marisstraat 3, 2170 Merksem;4.4380675;51.2423546
Koninklijk Atheneum Deurne;Frank Craeybeckxlaan 22, 2100 Deurne;4.4597626;51.2222064
De Luchtballon;Borrewaterstraat 70, 2170 Merksem;4.4445635;51.2406396
Sint-Eduardusbasisschool;Broeder Frederikstraat 3, 2170 Merksem;4.4508785;51.2456760
Koninklijk Atheneum Berchem;Uitbreidingstraat 246, 2600 Berchem;4.4220497;51.1936441
Sint-Ludgardisschool;Du Chastellei 48, 2170 Merksem;4.4518843;51.2505834
Koninklijk Atheneum MXM;Melgesdreef 113, 2170 Merksem;4.4554275;51.2560404
Sint-Jozef;Winkelstap 108, 2170 Merksem;4.4647936;51.2522411
Koninklijk Atheneum Hoboken;Distelvinklaan 22, 2660 Hoboken;4.3615941;51.1705583
Koninklijk Atheneum Hoboken;Hendriklei 67, 2660 Hoboken;4.3723234;51.1884005
Leonardo Lyceum Quellinstraat;Quellinstraat 31, 2018 Antwerpen;4.4162680;51.2164669
Leonardo Lyceum Campus Harmonie;Lamorinierestraat 248, 2018 Antwerpen;4.4168878;51.2012447
Leonardo Lyceum Campus Mercator;Lamorinierestraat 10-16, 2018 Antwerpen;4.4238012;51.2076880
Leonardo Lyceum/Stuivenberg;Lange Beeldekensstraat 267, 2060 Antwerpen;4.4353082;51.2222125
Leonardo Lyceum/Esemnegen;Boomsesteenweg 270, 2020 Antwerpen;4.3866681;51.1901540
JOMA;Laaglandlaan 232A, 2170 Merksem;4.4455791;51.2574164
Virgo Maria-instituut;Terlindenhofstraat 206, 2170 Merksem;4.4439995;51.2482556
Virgo Maria-instituut;Terlindenhofstraat 220, 2170 Merksem;4.4433122;51.2487741
Driehoek;Kloosterstraat 39, 2180 Ekeren;4.4184310;51.2808002
Veltwijck;Veltwijcklaan 235, 2180 Ekeren;4.4407556;51.2812841
O.-L.-V. van Lourdesinstituut;Kloosterstraat 82, 2180 Ekeren;4.4173943;51.2822089
Sint Jozef;Prinshoeveweg 44, 2180 Ekeren;4.4504057;51.2798071
Sint-Vincentschool;Leugenberg 143, 2180 Ekeren;4.4105776;51.2977823
De Kleurenboom;Pastoor Goetschalckxstraat 57, 2180 Ekeren;4.4506287;51.2780810
Sint-Lambertus;Oorderseweg 8, 2180 Ekeren;4.4161782;51.2786708
De Bunt;Waterstraat 16, 2180 Ekeren;4.4268651;51.2845449
De Waterval (ervaringsgerichte school);Veltwijcklaan 134, 2180 Ekeren;4.4269857;51.2792595
De Witte Merel (ervaringsgerichte school);Kapelsesteenweg 165, 2180 Ekeren;4.4566502;51.2743199
Mariaburg;Frans Standaertlei 54, 2180 Ekeren;4.4393932;51.2928935
O.-L.-V. van Lourdesinstituut;Alfons Jeurissenstraat 13, 2180 Ekeren;4.4201594;51.2776614
Freinetschool De kRing;Willem Van Laarstraat 55, 2600 Berchem;3.5094000;50.7901800
Klavertjevier;Jozef Balstraat 6, 2600 Berchem;4.4272573;51.1993473
Klavertjevier;Arthur Sterckstraat 61, 2600 Berchem;4.4295512;51.1975335
Steinerschool Antwerpen \'t Speelschooltje;Transvaalstraat 21, 2600 Berchem;4.4307884;51.2033502
Fruithof;Flor Alpaertsstraat 45, 2600 Berchem;4.4413039;51.1821701
De Kolibrie;Sint-Hubertusstraat 13, 2600 Berchem;4.4161900;51.1963845
Het Palet;Ramskapellestraat 43, 2600 Berchem;4.4455500;51.1940300
Leopold III;Mellinetplein 13, 2600 Berchem;4.4298882;51.1804738
De Schatkist;Ferdinand Coosemansstraat 15, 2600 Berchem;4.4178834;51.1975013
Heilige Familie;Jan Moorkensstraat 95, 2600 Berchem;4.4327210;51.1882707
Het Hinkelpad;Geluwestraat 4, 2600 Berchem;4.4430478;51.1948792
O.-L.-Vrouwinstituut Pulhof;Grotesteenweg 489, 2600 Berchem;4.4313094;51.1819143
O.-L.-Vrouwinstituut Pulhof;Floralienlaan 3702, 2600 Berchem;4.4272133;51.1802468
Sint-Stanislascollege (Kleine Stan);Keizershoevestraat 15, 2610 Wilrijk;4.4257501;51.1788648
Parkschool Ieperman;Kerkelei 43, 2610 Wilrijk;4.3997050;51.1685455
De Letter;Letterkundestraat 39, 2610 Wilrijk;4.3818671;51.1807983
De Zonnebloem;Boomsesteenweg 387, 2610 Wilrijk;4.3863305;51.1668666
Prins Boudewijn;Spoorweglaan 145, 2610 Wilrijk;4.4230629;51.1741020
Steinerschool Lohrangrin;Boomsesteenweg 94, 2610 Wilrijk;4.3886513;51.1778018
Johannesschool;Frans Stienletlaan 39, 2610 Wilrijk;4.3762561;51.1779035
Neerland;Edenplein 26, 2610 Wilrijk;4.3892702;51.1532399
Rozenkransschool;Heistraat 255, 2610 Wilrijk;4.3924465;51.1779093
De Ark;Valkenveld 73, 2610 Wilrijk;4.3876012;51.1687731
Sint-Ursula-Instituut;Kerkhofstraat 1A, 2610 Wilrijk;4.4002610;51.1719413
Pius X;Groenenborgerlaan 212, 2610 Wilrijk;4.4224701;51.1776123
Sint-Ursula-Instituut;Kerkhofstraat 1, 2610 Wilrijk;4.4002610;51.1719413
De Schakel;Hendriklei 67, 2660 Hoboken;4.3723239;51.1884007
Sint-Agnes;Dokter Coenstraat 18, 2660 Hoboken;4.3518304;51.1767663
Polderstadschool;Veerdamlaan 15, 2660 Hoboken;4.3397898;51.1848926
De Vlinder;Baron Sadoinestraat 32, 2660 Hoboken;4.3374076;51.1719847
De Molen;Onderwijzersstraat 13, 2660 Hoboken;4.3626297;51.1730576
De Romeintjes;Romestraat 20, 2660 Hoboken;4.3520762;51.1618372
\'t Baeckelandje;Jules Baeckelmanslaan 29, 2660 Hoboken;4.3675312;51.1717292
Het Kompas;Montessoristraat 15, 2660 Hoboken;4.3640408;51.1839527
Nello;Lambrechtsstraat 19, 2660 Hoboken;4.3478447;51.1756672
De Puzzel;Krugerstraat 103, 2660 Hoboken;4.3686261;51.1840936
Don Bosco;Sint-Bernardsesteenweg 665, 2660 Hoboken;4.3665012;51.1744854
Hofke Van Thys;Oudestraat 83, 2660 Hoboken;4.3536592;51.1750048
Sint-Agnes Hof ter Zande;Oudestraat 119, 2660 Hoboken;4.3543151;51.1732506
De Vlindertuin;Violetstraat 18, 2060 Antwerpen;4.4357483;51.2212433
Somerkriebels;Somersstraat 23, 2018 Antwerpen;4.4250773;51.2117623
Tachkemoni (joodse school);Lange Leemstraat 313, 2018 Antwerpen;4.4224498;51.2041986
De Vlinderboom (Rups);Te Boelaarpark 3, 2140 Borgerhout;4.4522600;51.2010600
Leonardo Lyceum Pestalozzi;Jan De Voslei 6, 2020 Antwerpen;4.3902972;51.1866681
Leonardo lyceum/Pierenberg;Pierenbergstraat 31, 2020 Antwerpen;4.3813438;51.1889334
Leonardo lyceum/Topsport;Edegemsesteenweg 100, 2610 Wilrijk;4.4462984;51.1400956
Leonardo Lyceum Pestalozzi/Groenhout;Sint Hubertusstraat 12, 2600 Berchem;4.4162262;51.1963648
Leonardo Lyceum/SITO 5;VIIde-Olympiadelaan 2, 2020 Antwerpen;4.3804303;51.1831616
Koninklijk Atheneum Antwerpen;Franklin Rooseveltplaats 11, 2060 Antwerpen;4.4179823;51.2195206
MS Ekeren;Pastoor De Vosstraat 19, 2180 Ekeren;4.4221118;51.2765318
Moretus-Ekeren: Kloosterstraat;Kloosterstraat 82, 2180 Ekeren;4.4173815;51.2822256
Moretus-Ekeren: campus Oorderseweg;Oorderseweg 8, 2180 Ekeren;4.4161789;51.2786709
Middelbare Rudolf Steinerschool Vlaanderen \'De Es\';Diksmuidelaan 227, 2600 Berchem;4.4448104;51.1947094
Onze-Lieve-Vrouwecollege;Frankrijklei 91, 2000 Antwerpen;4.4122431;51.2141470
Onze-Lieve-Vrouwinstituut vzw - Pulhof SO;Grotesteenweg 489, 2600 Berchem;4.4313087;51.1819142
SIBSO Begijnenvest;Begijnenvest 35, 2000 Antwerpen;4.4037668;51.2101256
De Markgrave;Markgravelei 81, 2018 Antwerpen;4.4018422;51.1989044
"Speciale Beroepsschool Emma&#252;s";Van Schoonbekestraat 131, 2018 Antwerpen;4.4062663;51.2014781
Parcival Steinerschool;Lamorinierestraat 77, 2018 Antwerpen;4.4222416;51.2055821
Katrinahof;Peter Benoitstraat 44, 2018 Antwerpen;4.4091154;51.2040123
SIBSO Ziekenhuis;Lindendreef 1, 2020 Antwerpen;4.4198637;51.1827583
De Ark;Manchesterlaan 50, 2030 Antwerpen;4.4227538;51.2546780
Katholiek Scholencentrum JOMA;Maantjessteenweg 130, 2170 Merksem;4.4400365;51.2549203
Sint Jozefinstituut;Galjoenstraat 2, 2030 Antwerpen;4.4230095;51.2433762
SIBSO Burchtse Weel;Burchtse Weel 102, 2050 Antwerpen;4.3521087;51.2112849
SIBSO Stuivenberg;Schoolstraat 2, 2060 Antwerpen;4.4316626;51.2249458
Koninklijk Atheneum Ekeren;Pastoor De Vosstraat 19, 2180 Ekeren;4.4209755;51.2764130
SIBSO Ertbrugge;Schotensesteenweg 252, 2100 Deurne;4.4819566;51.2266323
SIBSO Ziekenhuis;Lange Beeldekensstraat 267, 2060 Antwerpen;4.4353082;51.2222125
De Ark;Galjoenstraat 2, 2030 Antwerpen;4.4230095;51.2433762
Sint Jozefinstituut;Kerkstraat 153, 2060 Antwerpen;4.4345319;51.2194757
PIVA;Desguinlei 244, 2018 Antwerpen;4.3958708;51.1971319
SIBSO Burchtse Weel;Duinstraat 16, 2060 Antwerpen;4.4277645;51.2220402
KOCA;Solvynsstraat 75, 2018 Antwerpen;4.4003536;51.2050686
SIBSO Stuivenberg;Wandeldijk 17, 2050 Antwerpen;4.3869590;51.2360003
SIBSO Stuivenberg;Boerhaavestraat 1, 2060 Antwerpen;4.4357286;51.2246186
SIBSO Stuivenberg;Stuivenbergplein 36, 2060 Antwerpen;4.4306474;51.2277170
Provinciale Middenschool Sint-Godelieve;Turnhoutsebaan 250, 2100 Deurne;4.4742921;51.2190084
SIBSO Ertbrugge;Joseph Deckerslaan 2A, 2100 Deurne;4.4586727;51.2121800
Katrinahof;Van Schoonbekestraat 32, 2018 Antwerpen;4.4086475;51.2036196
SIBSO Ertbrugge;Schotensesteenweg 261, 2100 Deurne;4.4820115;51.2267007
Provinciale Middenschool Sint-Godelieve;Jacob Jordaensstraat 21, 2018 Antwerpen;4.4170119;51.2091944
Parcivalschool;"Lamorini&#232;restraat 73-77, 2018 Antwerpen";4.4223201;51.2057078
Provinciaal Instituut Sint-Godelieve;Brialmontlei 45, 2018 Antwerpen;4.4202726;51.2098505
Provinciaal Instituut Sint-Godelieve;Desguinlei 244, 2018 Antwerpen;4.3958021;51.1971588
"Emma&#252;s";Rudolfstraat 40, 2018 Antwerpen;4.4016960;51.2051264
Provinciaal Instituut Sint-Godelieve;Jacob Jordaensstraat 21, 2018 Antwerpen;4.4170118;51.2092234
Provinciaal Instituut St.-Godelieve;Turnhoutsebaan 250, 2100 Deurne;4.4742921;51.2190084
Leonardo Lyceum/SPIA;August Leyweg 3, 2020 Antwerpen;4.3768154;51.1943698
Secundaire Handelsschool Sint-Lodewijk;Lombardenvest 52, 2000 Antwerpen;4.4025845;51.2175062
Campus Van Celst;Sint-Jacobsmarkt 15, 2000 Antwerpen;4.4110241;51.2204673
Sint-Lievenscollege;Kasteelpleinstraat 31, 2000 Antwerpen;4.4016044;51.2106180
Sint-Lievenscollege;Amerikalei 38, 2000 Antwerpen;4.4002220;51.2084442
Sint-Lievenscollege Middenschool;Amerikalei 32, 2000 Antwerpen;4.4006123;51.2085153
Sint-Norbertusinstituut: Campus Amerikalei;Amerikalei 47, 2000 Antwerpen;4.4002321;51.2079092
Sint-Norbertusinstituut: Campus Jodenstraat;Jodenstraat 15, 2000 Antwerpen;4.4074555;51.2169072
Sint-Norbertusinstituut: Campus Lange Winkelstraat;Lange Winkelstraat 36, 2000 Antwerpen;4.4122120;51.2229420
Sint-Norbertusinstituut: Campus Lokkaardstraat;Lokkaardstraat 6, 2018 Antwerpen;4.4074301;51.1981216
Stedelijk Instituut voor Sierkunsten en Ambachten (SISA) - Cadixstraat;Cadixstraat 2, 2000 Antwerpen;4.4110874;51.2333667
Stedelijk Lyceum Paardenmarkt;Paardenmarkt 94, 2000 Antwerpen;4.4132385;51.2247426
Technicum Noord-Antwerpen Bovenbouw;Londenstraat 43, 2000 Antwerpen;4.4090740;51.2320260
Sint-Lucas Kunstsecundair;Sint-Jozefstraat 35, 2018 Antwerpen;4.4126074;51.2071752
Tachkemoni - Middenschool;Lange Leemstraat 313, 2018 Antwerpen;4.4223386;51.2041756
Tachkemoni Atheneum;Lange Leemstraat 313, 2018 Antwerpen;4.4223386;51.2041756
Vrije Israelitische school voor Secundair Onderwijs Yavne;Lamorinierestraat 150, 2018 Antwerpen;4.4207630;51.2037640
Vrije Israelitische school voor Secundair Onderwijs Yavne;Stoomstraat 11, 2018 Antwerpen;4.4220977;51.2125585
Sint-Annacollege;Oscar De Gruyterlaan 4, 2050 Antwerpen;4.3830327;51.2234528
Sint-Annacollege - Middenschool;Willem Gijsselsstraat 1, 2050 Antwerpen;4.3764877;51.2234276
Scheppersinstituut campus Sint-Eligius Antwerpen (SEA);Van Helmontstraat 27-29, 2060 Antwerpen;4.4360271;51.2252873
Scheppersinstituut - Campus Sint-Eligius Deurne (SED);(Ingang: Meeuwhoflei 8) Lakborslei 263, 2100 Deurne;4.4545332;51.2275086
Scheppersinstituut - Campus Sancta Maria Deurne (SMD);Pieter de Ridderstraat 5, 2100 Deurne;4.4607425;51.2232935
Stedelijk Instituut voor Secundair Onderwijs nr. II;Confortalei 173, 2100 Deurne;4.4566751;51.2293086
