"title";"description";"address";"gisx";"gisy";"image";"link"
"Janneke Maan";"";"Hanegraefstraat 15, 2050 Antwerpen";"4.3806281";"51.2191939";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039564"
"Bethlehem vzw";"";"Lange Zavelstraat 62, 2060 Antwerpen";"4.4274572";"51.2227723";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039566"
"Brabbel";"";"Regentstraat 9, 2060 Antwerpen";"4.4278252";"51.2198410";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039568"
"Schoonbroek";"";"Groot Hagelkruis 165, 2030 Antwerpen";"4.4091147";"51.2740493";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039557"
"Neuze-Neuze";"";"Kleine Bredestraat 2A, 2040 Berendrecht";"4.3217174";"51.3454770";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039559"
"De Kleine Strandloper";"";"Willem Van Haechtlaan 66, 2050 Antwerpen";"4.3855419";"51.2300605";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039561"
"De Regenboog";"";"Dokter Decrolystraat 2, 2030 Antwerpen";"4.4226874";"51.2577605";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039551"
"Knuffel";"";"Columbiastraat 231, 2030 Antwerpen";"4.4230191";"51.2521449";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/Knuffelend_kindje.JPG";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039553"
"Maria Boodschap - Afdeling vzw Vrije Kinderdagverblijven Antwerpen";"";"Perustraat 8, 2030 Antwerpen";"4.4237972";"51.2530973";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039555"
"Fladder en F&#233;";"";"Lokkaardstraat 8, 2018 Antwerpen";"4.4061212";"51.1976340";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039516"
"Kadee";"";"Jan Frans Van De Gaerstraat 56, 2020 Antwerpen";"4.3852249";"51.1902710";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039521"
"Robbedoes";"";"Valerius De Saedeleerstraat 2, 2020 Antwerpen";"4.3756237";"51.1917909";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039527"
"Janneke Maan, afdeling van Vrije Kinderdagverblijven vzw";"";"Lange Altaarstraat 4, 2018 Antwerpen";"4.4324691";"51.2075369";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039500"
"\'t Eekhoorntje";"";"Jozef De Bomstraat 45, 2018 Antwerpen";"4.4056787";"51.2063764";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039512"
