"id";"thema";"type";"subtype";"naam";"straat";"huisnummer";"postcode";"district";"lgst_niv";"hgst_niv";"grondopp";"gebo";"pero";"begindatum";"point_lng";"point_lat"
"PUB044";"publiek";"afvalvoorzieningen";"recyclagepark";"Luchtbal";"Noorderlaan";" ";"2030";"Antwerpen-Luchtbal";"stadsdeel";"stedelijk";"3634.6399999999999";" ";" ";"2004-01-01T00:00:00";"4.4197936170000389";"51.262784517000057"
"PUB043";"publiek";"afvalvoorzieningen";"recyclagepark";"Zandvliet";"Derdeweg";" ";"2040";"Berendrecht-Zandvliet-Lillo";"stadsdeel";"stedelijk";"1216.8499999999999";" ";" ";"2004-01-01T00:00:00";"4.3035547930000462";"51.351727594000067"
"PUB051";"publiek";"afvalvoorzieningen";"recyclagepark";"Linkeroever (gepland eind 2007)";"Blancefloerlaan";" ";"2050";"Antwerpen-Linkeroever";"stadsdeel";"stedelijk";"4277.2399999999998";" ";" ";"2008-01-01T00:00:00";"4.3709620460000451";"51.218260998000062"
"PUB050";"publiek";"afvalvoorzieningen";"recyclagepark";"Vroegmarkt";"Kielsbroek";" ";"2020";"Antwerpen-Kiel";"stadsdeel";"stedelijk";"2186.6799999999998";" ";" ";"2004-01-01T00:00:00";"4.3714638560000481";"51.198185045000059"
"PUB049";"publiek";"afvalvoorzieningen";"recyclagepark";"Hoboken";"Smallandlaan";" ";"2660";"Hoboken";"stadsdeel";"stedelijk";"5929.0500000000002";" ";" ";"2004-01-01T00:00:00";"4.3374094020000484";"51.18197570500007"
"PUB048";"publiek";"afvalvoorzieningen";"recyclagepark";"Wilrijk";"Kernenergiestraat";" ";"2610";"Wilrijk";"stadsdeel";"stedelijk";"1362.77";" ";" ";"2004-01-01T00:00:00";"4.3877330450000613";"51.160768447000066"
"PUB047";"publiek";"afvalvoorzieningen";"recyclagepark";"Berchem";"Arbeidersstraat";" ";"2600";"Berchem";"stadsdeel";"stedelijk";"3335.02";" ";" ";"2004-01-01T00:00:00";"4.437202472000024";"51.194229652000047"
"PUB046";"publiek";"afvalvoorzieningen";"recyclagepark";"Borgerhout";"Noordersingel";" ";"2140";"Borgerhout";"stadsdeel";"stedelijk";"2969.8800000000001";" ";" ";"2004-01-01T00:00:00";"4.4469474920000494";"51.223965497000052"
"PUB045";"publiek";"afvalvoorzieningen";"recyclagepark";"Deurne";"Merksemsesteenweg";" ";"2100";"Deurne";"stadsdeel";"stedelijk";"2128.8800000000001";" ";" ";"2004-01-01T00:00:00";"4.4558768660000396";"51.237095624000062"
