"objectid_1";"dossier_nummer";"naam";"straatnaam";"locatie";"postcode";"district";"status";"reguliere_ophaling";"budgetjaar";"realisatie";"point_lng";"point_lat"
"205";"2011228";"Koxplein";"Koxplein";"thv De Shelter";"2140";"Borgerhout";"6.  Uitgesteld";"Ja";"2050";"2050";"4.4339029960000289";"51.21143726400004"
"206";"2011230";"Bosuil";"Bosuil";"tussen Kerkeveldlaan 77-79";"2100";"Deurne";"6.  Uitgesteld";"Ja";"2050";"2050";"4.4629306430000497";"51.230033964000029"
"207";"2011231";"Clara Snellingstraat";"Clara Snellingsstraat";"hoek Eikblokstraat";"2100";"Deurne";"6.  Uitgesteld";"ja";"2050";"2050";"4.4630329870000764";"51.223920675000045"
"208";"2011232";"Veltwijcklaan";"Veltwijcklaan";"48";"2180";"Ekeren";"6.  Uitgesteld";"ja";"2050";"2050";"4.4219665060000466";"51.277745914000036"
"209";"2011235";"Van Stralenlei";"Van Stralenlei";"hoek Sint Bartholomeusstraat";"2170";"Merksem";"6.  Uitgesteld";"ja";"2050";"2050";"4.4453366300000425";"51.242809798000053"
"210";"2011175";"REGATTA";"";"verlengde Aalscholverlaan";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2020";"2020";"4.3660493620000693";"51.217137907000051"
"211";"2011269";"Edison";"Edisonlaan";"0";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"0";"0";"4.4119291760000579";"51.291986541000028"
"212";"2011261";"Lombarden";"Pandstraat";"";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"0";"0";"4.4009918540000399";"51.21778783600007"
"213";"2011223";"EILANDJE";"Kempischdok-Westkaai";"0";"2000";"Antwerpen";"4.  In Onderzoek";"nee";"0";"0";"4.412756742000056";"51.234047757000042"
"214";"2011278";"VALAAR";"Kolonel Slaterplein";"over nr 1";"2610";"Wilrijk";"3.  In Wacht";"ja";"";"";"4.3774473600000761";"51.176788599000076"
"215";"2011279";"VALAAR";"Ridderveld";"over nr 1";"2610";"Wilrijk";"4.  In Onderzoek";"ja";"";"";"4.3745939530000442";"51.177485030000071"
"216";"2011280";"BelgiÃ«lei";"BelgiÃ«lei";"34";"2018";"Antwerpen";"4.  In Onderzoek";"ja";"";"";"4.4213032290000456";"51.208346977000076"
"217";"2011281";"BelgiÃ«lei";"BelgiÃ«lei";"94";"2018";"Antwerpen";"4.  In Onderzoek";"ja";"";"";"4.4184849110000641";"51.206312162000074"
"218";"2011282";"BelgiÃ«lei";"BelgiÃ«lei";"142";"2018";"Antwerpen";"4.  In Onderzoek";"ja";"";"";"4.4156438990000311";"51.204320609000035"
"219";"2011283";"BelgiÃ«lei";"BelgiÃ«lei";"204";"2018";"Antwerpen";"4.  In Onderzoek";"ja";"";"";"4.4129871270000649";"51.202444437000054"
"220";"2011284";"BelgiÃ«lei";"Van Den Nestlei";"10";"2018";"Antwerpen";"4.  In Onderzoek";"ja";"";"";"4.4243795570000657";"51.209729996000078"
"221";"2011268";"Plantin en Moretuslei";"Plantin en Moretuslei";"123 - 135";"2140";"Borgerhout";"6.  Uitgesteld";"ja";"2012";"2012";"4.4278921180000452";"51.210143556000048"
"222";"2011257";"Blancefloerlaan";" ";"4";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2012";"2012";"4.3864874820000637";"51.219858760000079"
"223";"2011287";"Fodderiestraat";"Fodderiestraat";"89";"2660";"Hoboken";"4.  In Onderzoek";"NEE";"";"2020";"4.3456743860000415";"51.180548753000039"
"224";"2011288";"Pijlstraat";"Pijlstraat";"1";"2060";"Antwerpen";"4.  In Onderzoek";"0";"";"2012";"4.4189122920000727";"51.221379196000044"
"225";"2011289";"Kroonstraat";"Kroonstraat";"80";"2140";"Borgerhout";"4.  In Onderzoek";"0";"";"2012";"4.4296547110000688";"51.213808269000026"
"226";"2011290";"kievit fase II";"van Immerseelstraat";"1";"2018";"Antwerpen";"4.  In Onderzoek";"nee";"";"2014";"4.4226534040000729";"51.213048835000052"
"227";"2011185";"EILANDJE";"Kempischdok-Westkaai";"26-28";"2000";"Antwerpen";"4.  In Onderzoek";"nee";"2020";"2020";"4.4128326030000267";"51.233713943000055"
"228";"2011144";"Jos Van Geellaan";"Deurne";"over nr 15bis";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.4688872390000256";"51.208336641000074"
"229";"2011286";"Breedsteert";"verkaveling";"0";"2040";"Bezali";"6.  Uitgesteld";"NEE";"";"";"4.3253164570000422";"51.349949861000027"
"230";"2011291";"BREDERODE";"Fransenplaats";"3";"2018";"Antwerpen";"6.  Uitgesteld";"0";"";"";"4.3978125890000683";"51.200572253000075"
"231";"2011292";"Sint-Vincentius";"Sint-Vincentiusstraat";"20";"2018";"Antwerpen";"6.  Uitgesteld";"0";"";"";"4.4135684950000496";"51.205714940000064"
"232";"2011293";"BREDERODE";"Stockmansstraat";"7";"2018";"Antwerpen";"6.  Uitgesteld";"ja";"";"2012";"4.4050180820000264";"51.208916711000029"
"233";"2011294";"BREDERODE";"Solvynsstraat";"9";"2018";"Antwerpen";"6.  Uitgesteld";"ja";"";"2012";"4.4022601110000323";"51.207551558000034"
"234";"2011295";"BREDERODE";"Bolwerkstraat";"26";"2018";"Antwerpen";"6.  Uitgesteld";"ja";"";"2012";"4.399925473000053";"51.207112695000035"
"235";"2011299";"DAM";"Kalverstraat";"6";"2060";"Antwerpen";"6.  Uitgesteld";"0";"";"2012";"4.4319971180000266";"51.230721335000055"
"236";"2011300";"Baron Dhanislaan";"Emiel Banningstraat";"15-17";"2000";"Antwerpen";"6.  Uitgesteld";"JA";"";"2013";"4.3897224330000313";"51.205824458000052"
"237";"2012301";"0";"0";"0";"0";"0";"0";"0";"";"0";"4.4314727380000249";"51.230191540000078"
"238";"2012302";"DE VELDEKENS";"Kanunnik Peetersstraat";"thv nÂ° 70";"2600";"Berchem";"4.  In Onderzoek";"nee";"0";"2012";"4.4330880500000376";"51.189769045000048"
"239";"2012303";"Nieuw Zuid - S1";"omgeving Van der Sweepstraat";"0";"2000";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.384804306000035";"51.206834021000077"
"240";"2012304";"Nieuw Zuid - S2";"Striga 1";"Kant Ledeganckkaai";"2000";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3828589450000663";"51.206369128000063"
"241";"2012305";"Nieuw Zuid - S3";"Striga 1";"kant snelweg";"2000";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3838863820000711";"51.205181786000026"
"242";"2012306";"Nieuw Zuid - S4";"Striga 2";"kant  Ledeganckkaai";"2000";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3815988140000286";"51.205779155000073"
"243";"2012308";"Nieuw Zuid - S6";"Striga 3";"Kant Ledeganckkaai";"2000";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3798302140000374";"51.204758774000027"
"244";"2012310";"Nieuw Zuid  - S8";"Striga 4";"Kant Ledeganckkaai";"2020";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3784707920000301";"51.204557569000031"
"245";"2012312";"Nieuw Zuid - S10";"Striga 6";"Kant D'Herbouvillekaai";"2020";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3770892620000268";"51.204273038000053"
"246";"2012307";"Nieuw Zuid - S5";"Striga 2";"kant snelweg";"2000";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3823610380000559";"51.204619628000046"
"247";"2012309";"Nieuw Zuid - S7";"Striga 3";"kant snelweg";"2000";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3804931210000291";"51.204036659000053"
"248";"2012311";"Nieuw Zuid  - S9";"Striga 4";"kant snelweg";"2020";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3792994380000323";"51.20362022200004"
"249";"2012313";"Nieuw Zuid - S11";"Striga 6";"kant snelweg";"2020";"Antwerpen";"4.  In Onderzoek";"NEE";"";"";"4.3782605420000209";"51.203405097000029"
"250";"2011115";"Rozemaai";"Herman Vosstraat";"7";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"2014";"";"4.4119888700000729";"51.271610987000031"
"251";"2011116";"Rozemaai";"Renaat Veremansstraat";"4";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"2014";"";"4.4175236060000316";"51.269946284000071"
"252";"2012314";"Rozemaai";"Jef Van Hoofstraat";"2";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.4178826320000439";"51.268370683000057"
"253";"2012315";"Rozemaai";"Gerard Walschapstraat";"1";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.4161888800000497";"51.267387819000078"
"254";"2012316";"Rozemaai";"100m westen van Renaat Veremanstraat 8";"0";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.4154274760000476";"51.269050648000075"
"255";"2012317";"Rozemaai";"Henry Van De Veldestraat";"2";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.4142649270000334";"51.272036613000068"
"256";"2012319";"Rozemaai";"Pater Strackestraat";"2";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.4121957500000235";"51.270340105000059"
"257";"2012318";"Rozemaai";"Ekersesteenweg";"4";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.417300932000046";"51.272179140000048"
"258";"2012320";"VALAAR";"Cliviastraat";"lotusstraat";"2610";"Wilrijk";"4.  In Onderzoek";"0";"";"";"4.3845974720000527";"51.178654144000063"
"259";"2012321";"Krugerstraat";"Krugerstraat";"7";"2660";"Hoboken";"4.  In Onderzoek";"ja";"";"";"4.3709602800000198";"51.182425561000059"
"260";"2012323";"EILANDJE";"Nassaustraat";"43";"2000";"Antwerpen";"6.  Uitgesteld";"JA";"";"2012";"4.4056333050000376";"51.229908794000039"
"261";"2012322";"SINT-JAN";"Sint Jansplein";"Van De Wervestraat";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"";"2012";"4.4170257100000754";"51.225849868000068"
"262";"2012324";"EILANDJE";"Bordeauxstraat";"1";"2000";"Antwerpen";"3.  In Wacht";"JA";"";"2013";"4.4092238860000634";"51.230746999000075"
"263";"2008006";"DRAAIBOOM";"Alfred Nobellaan";"1";"2660";"Hoboken";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3608058410000581";"51.177232225000068"
"264";"2009022";"HOF TER LO";"Buurtspoorweglei";"0";"2140";"Borgerhout";"2.  In Aanleg";"nee";"2009";"2012";"4.4462427220000222";"51.218671638000046"
"265";"2009024";"EKSTERLAER";"Vuurwerkstraat";"begin groen zone";"2100";"Deurne";"4.  In Onderzoek";"nee";"2009";"2013";"4.4711798610000528";"51.204054126000074"
"266";"2010027";"STUDENTENBUURT";"Pieter van Hobokenstraat";"23";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"2010";"2011";"4.4130163550000248";"51.221865239000067"
"267";"2009019";"EILANDJE";"Kattendijkdok-Oostkaai";"hoek Madrasstraat";"2000";"Antwerpen";"4.  In Onderzoek";"ja";"2009";"2012";"4.4092281360000243";"51.235515787000054"
"268";"2009020";"EILANDJE";"Madrasstraat";"tegenover gebouw kaai 20";"2000";"Antwerpen";"4.  In Onderzoek";"ja";"2009";"2012";"4.4092112630000315";"51.235676037000076"
"269";"2009021";"TERLOPLEIN";"Statielei";"over nr 109 en Albrecht Rodenbachstraat 44";"2140";"Borgerhout";"3.  In Wacht";"Ja";"2011";"2012";"4.4444290210000759";"51.219008596000037"
"270";"2010030";"MILITAIR HOSPITAAL";"Boomgaardstraat";"achter nr 143";"2018";"Antwerpen";"3.  In Wacht";"nee";"2010";"2013";"4.4256042730000331";"51.201379815000053"
"271";"2010031";"MILITAIR HOSPITAAL";"Pater Pirestraat";"t.h.v. uitrit Lange Leemstraat";"2018";"Antwerpen";"3.  In Wacht";"nee";"2010";"2012";"4.4262612990000321";"51.203700332000039"
"272";"2010042";"STUDENTENBUURT";"Paardenmarkt";"Venusstraat";"2000";"Antwerpen";"2.  In Aanleg";"ja";"2010";"2012";"4.4094317180000644";"51.225024305000034"
"273";"2011045";"NATIONALESTRAAT";"Nationalestraat - Drukkerijstraat";"9 en tegenover nr 18";"2000";"Antwerpen";"2.  In Aanleg";"ja";"2011";"2012";"4.3992736350000428";"51.216999878000081"
"274";"2011046";"NATIONALESTRAAT";"Schoytestraat";"2";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"2011";"2012";"4.3979003390000457";"51.214056682000034"
"275";"2011047";"NATIONALESTRAAT";"Kronenburgstraat";"43/1";"2000";"Antwerpen";"4.  In Onderzoek";"ja";"2011";"2012";"4.3977275310000437";"51.212042046000079"
"276";"2011048";"Kloosterstraat";"Kloosterstraat";"hoek met Oever";"2000";"Antwerpen";"5.  Gevraagd";"ja";"2011";"2011";"4.3962392650000766";"51.217496513000071"
"277";"2011049";"BREDERODE";"Kielsevest";"thv nr 44-46";"2018";"Antwerpen";"6.  Uitgesteld";"Ja";"2011";"2011";"4.393312844000036";"51.19785063300003"
"278";"2011050";"Broederminstraat";"Broederminstraat";"41";"2018";"Antwerpen";"6.  Uitgesteld";"Ja";"2011";"2011";"4.3947147890000338";"51.202481918000046"
"279";"2011051";"Brialmontlei";"Brialmontlei";"hoek Plantin Moretuslei/Charlottalei";"2018";"Antwerpen";"5.  Gevraagd";"Ja";"2011";"2011";"4.4185399880000205";"51.210005098000067"
"280";"2011052";"Lange Leemstraat";"Lange Leemstr";"pleintje  met Isabellalei/Sint Vincentiusstr";"2018";"Antwerpen";"5.  Gevraagd";"Ja";"2011";"2011";"4.414985156000057";"51.206806476000054"
"281";"2011298";"BREDERODE";"Halve Maanstraat";"hoek met Lange Batterijstraat";"2018";"Antwerpen";"4.  In Onderzoek";"ja";"";"2012";"4.3956963230000383";"51.203584870000043"
"282";"2011054";"DAM";"Weilandstraat";"hoek met Kalverstraat";"2060";"Antwerpen";"6.  Uitgesteld";"nee";"2011";"2011";"4.4315271720000737";"51.230854702000045"
"283";"2011296";"DAM";"Eendrachtstraat";"29";"2060";"Antwerpen";"1.  Uitgevoerd";"nee";"";"2012";"4.4377014440000266";"51.228572112000052"
"284";"2012325";"BORGERWEERT";"Antoon Marstboomstraat";"0";"2050";"Antwerpen";"2.  In Aanleg";"JA";"";"2012";"4.3762235710000255";"51.219355499000073"
"285";"2012326";"BORGERWEERT";"Edmond De Coussemakerstraat";"41";"2050";"Antwerpen";"4.  In Onderzoek";"JA";"";"2012";"4.3751480220000758";"51.217896678000045"
"286";"2012328";"DAM";"Dijlestraat";"tegenover nr 1";"2060";"Antwerpen";"6.  Uitgesteld";"0";"";"";"4.4301670950000585";"51.230913624000038"
"287";"2012327";"Oude Luchtbal";"Bostonstraat";"0";"2030";"Antwerpen";"5.  Gevraagd";"JA";"";"";"4.4301086900000541";"51.229916096000068"
"288";"2012329";"Oude Stadscentrum";"Groenkerkhofstraat";"2";"2000";"Antwerpen";"4.  In Onderzoek";"0";"";"";"4.4006881390000672";"51.218711475000077"
"289";"2012330";"Oude Stadscentrum";"Wisselstraat";"op hoek met Grote Markt nr 15";"2000";"Antwerpen";"4.  In Onderzoek";"0";"";"";"4.4003912940000305";"51.221488417000046"
"290";"2012331";"Oude Stadscentrum";"Zand";"tegenover nr 1";"2000";"Antwerpen";"4.  In Onderzoek";"0";"";"";"4.396385925000061";"51.219720982000069"
"291";"2012332";"Scanfil_extra locatie";"Fodderiestraat (kant Hertoglei)";"0";"2660";"Hoboken";"4.  In Onderzoek";"nee";"2014";"2014";"4.3457614820000572";"51.18046428100007"
"292";"2012333";"Sint-Elisabethstraat";"Sint-Elisabethstraat";"59";"2060";"Antwerpen";"4.  In Onderzoek";"0";"";"";"4.4240315710000573";"51.222841448000054"
"293";"2009023";"HOF TER LO";"Hof ter Lo";"11";"2140";"Borgerhout";"2.  In Aanleg";"nee";"2009";"2012";"4.4468882770000278";"51.220564425000077"
"294";"2010041";"KRUGERPARK";"Borsbeekstraat";"Gijselsstraat";"2140";"Borgerhout";"2.  In Aanleg";"Ja";"2010";"2012";"4.4428327990000298";"51.21627268800006"
"295";"2012334";"Koxplein";"Bleekhofstraat";"60";"2140";"Borgerhout";"5.  Gevraagd";"JA";"2014";"2014";"4.4326656720000415";"51.211335197000039"
"296";"2012335";"Lt. Lippenslaan";"Te Boelaarlei";"1-3";"2140";"Borgerhout";"5.  Gevraagd";"ja";"";"2014";"4.4523439310000299";"51.210222291000036"
"297";"2012336";"Hulkstraat";"Hulkstraat";"26";"2040";"Bezali";"6.  Uitgesteld";"ja";"";"2014";"4.3070870070000637";"51.35746105700008"
"298";"2011056";"DAM";"Lange Lobroekstraat";"De Marbaixstraat";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"2011";"2012";"4.4374205890000553";"51.227290807000031"
"299";"2011274";"ROZEMAAI";"Pater Strackestraat";"9";"2030";"Antwerpen";"1.  Uitgevoerd";"nee";"";"2010";"4.4145567730000721";"51.270230259000073"
"300";"2011142";"KRONENBURG";"Van Duyststraat";"255";"2100";"Deurne";"1.  Uitgevoerd";"Ja";"2012";"2012";"4.4530942070000492";"51.232802136000032"
"301";"2008001";"TER WILGEN";"Urbain Renierstraat";"hoek Adolf Menystraat";"2050";"Antwerpen";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3765061670000591";"51.22663835600008"
"302";"2008003";"HALEWIJNLAAN";"Halewijnlaan";"45-47";"2050";"Antwerpen";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3786723630000211";"51.224695660000066"
"303";"2008002";"HALEWIJNLAAN";"Halewijnlaan";"41-43";"2050";"Antwerpen";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3787062960000753";"51.225545129000068"
"304";"2008004";"COSTER/ELSSCHOT";"Willem Elsschotstraat";"5";"2050";"Antwerpen";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3805545890000417";"51.226112150000063"
"305";"2008005";"COSTER - ELSSCHOT";"Charles de Costerlaan";"15";"2050";"Antwerpen";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3799850490000267";"51.226720690000036"
"306";"2008007";"DRAAIBOOM";"Gandhilaan";"overzijde nr 40";"2660";"Hoboken";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3636673050000354";"51.177840091000064"
"307";"2008009";"VINKENVELDEN";"Moretusstraat";"154";"2660";"Hoboken";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3490059230000497";"51.169060456000068"
"308";"2009010";"STUDENTENBUURT";"Molenbergstraat";"10";"2000";"Antwerpen";"1.  Uitgevoerd";"ja";"2009";"2010";"4.4155686310000419";"51.220574158000034"
"309";"2009011";"SINT-ANDRIES";"Willem Lepelstraat";"19";"2000";"Antwerpen";"1.  Uitgevoerd";"ja";"2009";"2010";"4.3958627890000344";"51.213238453000031"
"310";"2009012";"SINT-ANDRIES";"Prekersstraat";"18";"2000";"Antwerpen";"1.  Uitgevoerd";"ja";"2009";"2010";"4.3966450780000628";"51.214053903000035"
"311";"2009013";"SILVERTOP";"Jan DenucÃ©straat";"11";"2020";"Antwerpen";"1.  Uitgevoerd";"nee";"2009";"2010";"4.3889133600000605";"51.19572592600008"
"312";"2009014";"SILVERTOP";"Ontmoetingsplein";"0";"2020";"Antwerpen";"1.  Uitgevoerd";"nee";"2009";"2010";"4.3906195980000575";"51.194874501000072"
"313";"2009015";"SILVERTOP";"Volhardingstraat";"91";"2020";"Antwerpen";"1.  Uitgevoerd";"nee";"2009";"2010";"4.3903956810000295";"51.194189713000071"
"314";"2009016";"SINT-JAN";"Ellermanstraat";"Dambruggestraat";"2060";"Antwerpen";"1.  Uitgevoerd";"nee";"2009";"2010";"4.4210258920000456";"51.230006062000029"
"315";"2009017";"GROENINGERPLEIN";"Groeningerplein";"7 - 8 - 9";"2140";"Borgerhout";"1.  Uitgevoerd";"ja";"2009";"2010";"4.438791836000064";"51.219920721000051"
"316";"2009018";"FONTEINSTRAAT";"Fonteinstraat";"31";"2140";"Borgerhout";"1.  Uitgevoerd";"Ja";"2009";"2010";"4.44254588900003";"51.212077994000026"
"317";"2010026";"STUDENTENBUURT";"Gratiekapelstraat";"9";"2000";"Antwerpen";"1.  Uitgevoerd";"ja";"2010";"2011";"4.4084510600000613";"51.221970402000068"
"318";"2010028";"ZUIDERVELODROOM";"Zuidervelodroom";"over nr 34";"2018";"Antwerpen";"1.  Uitgevoerd";"nee";"2010";"2012";"4.3983776050000642";"51.201874881000037"
"319";"2010034";"DAM";"Noordschippersdok";"achter nr 29-31-33";"2060";"Antwerpen";"1.  Uitgevoerd";"nee";"2010";"2011";"4.4294495250000523";"51.234167274000072"
"320";"2010035";"DUINSTRAAT";"Duinstraat";"Geelhandsplaats";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"2010";"2012";"4.4306923210000377";"51.222515849000047"
"321";"2010044";"SINT-JAN";"Sint-Jansplein";"Oudesteenweg";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"2010";"2012";"4.41828694000003";"51.224824789000081"
"322";"2011053";"DAM";"Maasstraat";"2";"2060";"Antwerpen";"1.  Uitgevoerd";"nee";"2011";"2011";"4.4261507580000625";"51.232990931000074"
"323";"2008008";"VINKENVELDEN";"Paul Henri Spaaklaan";"1";"2660";"Hoboken";"1.  Uitgevoerd";"nee";"2008";"2009";"4.3480807300000492";"51.170145777000073"
"324";"2009025";"VALAAR";"Gebroeders De Wachterstraat";"21-199";"2610";"Wilrijk";"1.  Uitgevoerd";"Ja";"2009";"2011";"4.3798249840000381";"51.17670128900005"
"325";"2010029";"MILITAIR HOSPITAAL";"Albert Claudestraat";"11";"2018";"Antwerpen";"1.  Uitgevoerd";"nee";"2010";"2011";"4.4224635290000265";"51.201743631000056"
"326";"2010032";"DAM";"Twee Netenstraat";"1";"2060";"Antwerpen";"1.  Uitgevoerd";"nee";"2010";"2011";"4.4283593790000282";"51.231726389000073"
"327";"2010033";"DAM";"Rupelstraat";"83";"2060";"Antwerpen";"1.  Uitgevoerd";"nee";"2010";"2011";"4.430593373000022";"51.232882506000067"
"328";"2010036";"DUINSTRAAT";"Pesthofstraat";"35";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"2010";"2012";"4.4334818480000422";"51.222910220000074"
"329";"2010037";"DUINSTRAAT";"Duinstraat";"Lange Zavelstraat";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"2010";"2012";"4.4273114080000369";"51.22201810100006"
"330";"2010038";"NIJVERHEIDSTRAAT";"Nijverheidstraat";"Wilgenstraat";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"2010";"2011";"4.4283738450000669";"51.225522380000029"
"331";"2010039";"REGATTA";"Emile Dancolaan";"hoek Hugues C. Pernathlaan";"2050";"Antwerpen";"1.  Uitgevoerd";"nee";"2010";"2011";"4.3674772990000292";"51.219387821000055"
"332";"2010040";"REGATTA";"Hugues C. Pernathlaan";"hoek Cornellielaan";"2050";"Antwerpen";"1.  Uitgevoerd";"nee";"2010";"2011";"4.3677861770000277";"51.218257243000039"
"333";"2011055";"DAM";"Lange Lobroekstraat";"Ceulemansstraat";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"2011";"2012";"4.4347642420000284";"51.228491602000076"
"334";"2011285";"VENNEBORG";"Venneborglaan";"Alfons Schneiderlaan";"2100";"Deurne";"1.  Uitgevoerd";"ja";"";"2012";"4.475758115000076";"51.223929431000045"
"335";"2011297";"DAM";"Lange Lobroekstraat";"Lange Slachterijstraat";"2060";"Antwerpen";"1.  Uitgevoerd";"ja";"";"2012";"4.4331851180000399";"51.229194926000048"
"336";"2010043";"STUDENTENBUURT";"Paardenmarkt";"Rodestraat";"2000";"Antwerpen";"2.  In Aanleg";"ja";"2010";"2012";"4.4133438330000558";"51.224645098000053"
"337";"2012338";"Kloosterstraat";"Driehoekstraat";"2";"2180";"Ekeren";"6.  Uitgesteld";"0";"";"2014";"4.4191514010000219";"51.279657375000056"
"338";"2012337";"Kloosterstraat";"Kristus Koningplein";"9";"2180";"Ekeren";"6.  Uitgesteld";"0";"";"2014";"4.4186317300000724";"51.278333320000058"
"339";"2012339";"Kloosterstraat";"Kloosterstraat";"83";"2180";"Ekeren";"6.  Uitgesteld";"0";"";"2014";"4.417561987000056";"51.282150374000082"
"340";"2012340";"Kloosterstraat";"Kloosterstraat";"149";"2180";"Ekeren";"6.  Uitgesteld";"0";"";"2014";"4.4159998460000338";"51.284148320000043"
"341";"2012341";"Operaplein";"Frankrijklei";"nog niet bepaalt";"2000";"Antwerpen";"4.  In Onderzoek";"0";"";"";"4.4156300710000664";"51.219495105000078"
