"objectid_1";"dossier_nummer";"naam";"straatnaam";"locatie";"postcode";"district";"status";"reguliere_ophaling";"budgetjaar";"realisatie";"point_lng";"point_lat"
"97";"2011177";"REGATTA";"Hugues C. Pernathlaan";"ten zuiden van hoek met Aalscholverlaan";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2020";"2020";"4.3679328660000465";"51.21727807700006"
"98";"2011061";"Kerkstraat_85";"Kerkstraat";"85";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2011";"2011";"4.4310875370000531";"51.219044035000081"
"99";"2011060";"Kerkstraat_91";"Kerkstraat";"naast nr 91";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2011";"2011";"4.432250750000037";"51.219009761000052"
"100";"2011059";"Kerkstraat_192";"Kerkstraat";"naast nr 192";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2011";"2011";"4.4359256550000623";"51.220002553000029"
"101";"2011062";"Lange_Kongostraat";"Lange Kongostraat";"naast nr 41";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2011";"2011";"4.4395784720000506";"51.223181560000057"
"102";"2011241";"STUDENTENBUURT";"Ossenmarkt";"tegenover 32";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"2050";"2050";"4.4134756320000292";"51.221973153000079"
"103";"2011267";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4.4365338030000316";"51.228668585000037"
"104";"2011081";"REGATTA";"Antwerpen";"tussen Willy De Roosstraat en Emile Dancolaan";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2013";"2013";"4.3659882310000739";"51.219185741000047"
"105";"2011085";"EILANDJE";"Napelsstraat";"hoek IndiÃ«straat";"2000";"Antwerpen";"4.  In Onderzoek";"ja";"2013";"2013";"4.4108909250000465";"51.234345569000027"
"106";"2011187";"EILANDJE";"Kattendijkdok-Oostkaai";"over nr 22";"2000";"Antwerpen";"4.  In Onderzoek";"nee";"2020";"2020";"4.4090552120000552";"51.232394257000067"
"107";"2011058";"Potgieterstraat";"Potgieterstraat";"1";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2011";"2011";"4.4370356690000676";"51.221864549000031"
"108";"2011063";"POTHOEKSTRAAT";"Pothoekstraat";"tegenover 94";"2060";"Antwerpen";"2.  In Aanleg";"ja";"2011";"2012";"4.436548129000073";"51.22353421400004"
"109";"2011069";"Lodewijk_Van_Berckenlaan";"Lodewijk Van Berckenlaan";"179";"2140";"Borgerhout";"5.  Gevraagd";"Ja";"2012";"2012";"4.4485603430000538";"51.197422879000044"
"110";"2011070";"Lange_Beeldekensstraat";"Lange Beeldekensstraat";"over 298-300";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2012";"2012";"4.4358253440000226";"51.222438284000077"
"111";"2011072";"Handelsstraat - Korte_Zavelstraat";"Handelsstraat";"hoek Korte Zavelstraat";"2060";"Antwerpen";"5.  Gevraagd";"Ja";"2012";"2012";"4.4274800040000741";"51.223287009000046"
"112";"2011074";"Bredastraat";"Bredastraat";"77";"2060";"Antwerpen";"6.  Uitgesteld";"ja";"2012";"2012";"4.4229853450000292";"51.233869875000039"
"113";"2011100";"Alfons De Cockstraat";"Alfons De Cockstraat";"1 - 3";"2020";"Antwerpen";"5.  Gevraagd";"Ja";"2014";"2014";"4.3763522280000302";"51.188897416000032"
"114";"2011106";"Jan De Voslei";"Jan De Voslei";"1-17";"2020";"Antwerpen";"3.  In Wacht";"ja";"2014";"2014";"4.389743974000055";"51.186267828000041"
"115";"2011108";"Jan De Voslei";"Jan De Voslei";"49";"2020";"Antwerpen";"6.  Uitgesteld";"Ja";"2014";"2014";"4.3873597620000737";"51.192532276000065"
"116";"2011109";"Julius_De_Geyterstraat";"Julius De Geyterstr";"93-95";"2020";"Antwerpen";"5.  Gevraagd";"Ja";"2014";"2014";"4.3784675100000641";"51.184480447000055"
"117";"2011111";"Venezuelastraat_6";"Venezuelastraat";"6";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2014";"2014";"4.4234720490000541";"51.253563893000035"
"118";"2011114";"Groenendaallaan_270_308";"Groenendaallaan";"270-308";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2014";"2014";"4.4225544780000519";"51.24597809900007"
