"title";"description";"address";"gisx";"gisy";"image";"link"
"Woonkantoor Binnenstad";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Sint-Jacobsmarkt 42 2000 Antwerpen";"4.4120278";"51.2202555";"http://www.antwerpen.be/pics/Stad/Bedrijven/Sociale_zaken/SZ_Woon/DSC_4242.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8021050"
"Woonkantoor Centrum";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Langstraat 102 2140 Borgerhout";"4.4336834";"51.2125552";"http://www.antwerpen.be/pics/Stad/Bedrijven/Sociale_zaken/SZ_Woon/Woonkantoor_Berchem.JPG";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8056140"
"Woonkantoor Deurne";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Stenenbrug 75 2140 Borgerhout";"4.4496366";"51.2120423";"http://www.antwerpen.be/pics/Stad/Bedrijven/Sociale_zaken/SZ_Woon/09110502REP004.JPG";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8056150"
"Woonkantoor Noord";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Pothoekstraat 168 2060 Antwerpen";"4.4367483";"51.2259922";"http://www.antwerpen.be/pics/Stad/Bedrijven/Sociale_zaken/SZ_Woon/Woonkantoor_LaBe.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8056154"
"Woonkantoor Zuid";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Abdijstraat 253, 2020 Antwerpen";"4.3873068";"51.1863349";"http://www.antwerpen.be/pics/Stad/Bedrijven/Sociale_zaken/SZ_Woon/09110504REP001.JPG";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8056170"
"Woonkantoor Ekeren";"In het woonkantoor kan u terecht met al uw vragen over wonen in Antwerpen. Alle (toekomstige) huurders of eigenaars van een woning in Antwerpen zijn welkom. De dienstverlening is gratis. Hieronder vindt u een opsomming van de meest gestelde vragen.";"Veltwijcklaan 31, 2180 Antwerpen";"4.4253355";"51.2787229";"http://www.antwerpen.be/pics/Stad/Bedrijven/Sociale_zaken/SZ_Woon/Afbeelding 009.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8059876"
"Woonadvies Berendrecht";"Inwoners van Berendrecht, Zandvliet of Lillo kunnen in het districtshuis terecht voor al hun vragen over wonen in Antwerpen. Elke eerste dinsdag van de maand houdt woonkantoor Ekeren er tussen 9 en 12 uur spreekuur. Elke derde dinsdag van de maand is er mogelijkheid om op afspraak woonadvies te krijgen.";"Antwerpsebaan 140, 2040 Antwerpen";"4.3213965";"51.3433473";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8106034"
