"id";"thema";"type";"subtype";"naam";"straat";"huisnummer";"postcode";"district";"lgst_niv";"hgst_niv";"grondopp";"gebo";"pero";"begindatum";"point_lng";"point_lat"
"PUB013";"publiek";"stadskantoor";"stadskantoor";"Stadskantoor Luchtbal";"CANADALAAN";"158-160";"2030";"Antwerpen";"wijk";"stadsdeel";"139.61000000000001";"GEBO2000024656";" ";"2004-01-01T00:00:00";"4.4220803440000509";"51.250414650000039"
"PUB012";"publiek";"stadskantoor";"stadskantoor";"Stadskantoor Kiel";"SINT-BERNARDSESTEENWEG";"197";"2020";"Antwerpen";"wijk";"stadsdeel";"264.11000000000001";"GEBO2000170579";" ";"2004-01-01T00:00:00";"4.3765790010000387";"51.187940835000063"
"PUB011";"publiek";"stadskantoor";"stadskantoor";"Stadskantoor Paleis";"PALEISSTRAAT";"108-110";"2018";"Antwerpen";"wijk";"stadsdeel";"517.94000000000005";"GEBO2000057808";" ";"2004-01-01T00:00:00";"4.3974561900000708";"51.205878769000037"
"PUB015";"publiek";"stadskantoor";"stadskantoor";"Stadskantoor Permeke";"DE CONINCKPLEIN";"25";"2060";"Antwerpen";"wijk";"stadsdeel";"219.62";"GEBO2000173422";" ";"2004-01-01T00:00:00";"4.4210021330000586";"51.221917674000053"
"PUB014";"publiek";"stadskantoor";"stadskantoor";"Stadskantoor Linkeroever";"HALEWIJNLAAN";"86";"2050";"Antwerpen";"wijk";"stadsdeel";"1381.4300000000001";"GEBO2000033305";" ";"2004-01-01T00:00:00";"4.377630368000041";"51.224590951000039"
"PUB017";"publiek";"stadskantoor";"wijkkantoor";"Wijkkantoor Borgerhout";"GROENINGERPLEIN";"1";"2140";"Borgerhout";"wijk";"wijk";"360.93000000000001";"GEBO2000048046";" ";"2004-01-01T00:00:00";"4.4383972880000329";"51.220255292000047"
"PUB016";"publiek";"stadskantoor";"wijkkantoor";"Wijkkantoor Berchem";"STATIESTRAAT";"148";"2600";"Berchem";"wijk";"wijk";"182.97999999999999";"GEBO2000069330";" ";"2004-01-01T00:00:00";"4.4300290400000222";"51.199787678000064"
