"id";"thema";"type";"subtype";"naam";"straatnaam";"postcode";"district";"publiek_detail";"bereik";"grond_opp";"opp_ha";"lgst_niv";"hgst_niv";"x_coord";"y_coord";"ligging";"bezoekersaantal";"algemeen_uitzicht";"netheid";"hoogte_afsluiting";"materiaal_afsluiting";"aantal_vuilnisbakken";"aantal_zitbanken";"verlichting";"andere_objecten";"type_ondergrond";"quotering_algemeen";"point_lng";"point_lat"
"OPR0472";"groene open ruimte";"gebruiksgroen";"hondenweide";"TURNHOUSEBAAN/GRAVINSTRAAT";"TURNHOUTSEBAAN";"2140";"BORGERHOUT";"formeel groen, ingericht of bedoeld voor recreatie";"";"505";"0.050500000000000003";"buurt";"stadsdeel";"155277.57810000001";"211680.07849998999";"geschikt";"hoog";"goed";"goed";"1m00";"staalmat";"1";"1";"onrechtstreeks";"";"gras";"OK";"4.4442938580000373";"51.21505047200003"
"OPR0474";"groene open ruimte";"gebruiksgroen";"hondenweide";"POTVLIETLAAN";"POTVLIETLAAN";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"526";"0.052600000000000001";"buurt";"stadsdeel";"155211.11779999";"210513.89229999";"geschikt";"hoog";"goed";"goed";"2m00";"staalmat/ maasdraad";"1";"1";"onrechtstreeks";"";"gras";"OK";"4.4427496150000252";"51.203895442000032"
"OPR0475";"groene open ruimte";"gebruiksgroen";"hondenweide";"RODEKRUISLAAN";"RODEKRUISLAAN";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"1145.5330859999999";"0.1145533";"buurt";"stadsdeel";"154880.2224";"210133.29129999";"geschikt";"hoog";"goed";"goed";"1m60";"staalmat";"1";"0";"geen";"";"gras";"OK";"4.4381502340000338";"51.201041100000054"
"OPR0476";"groene open ruimte";"gebruiksgroen";"hondenweide";"VERENIGDE NATIESLAAN";"VERENIGDE NATIESLAAN";"2660";"HOBOKEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"2449.7371469999998";"0.24497371000000001";"buurt";"stadsdeel";"148752.80059999999";"205873.84299999001";"zeer geschikt";"hoog";"goed";"goed";"1m20";"staalmat";"2";"2";"onrechtstreeks";"<Null>";"gras";"AANPASSEN";"4.3534051160000331";"51.164139756000054"
"OPR0477";"groene open ruimte";"gebruiksgroen";"hondenweide";"HOF TER HEYDE- IN HET PARK";"HOF TER HEYDE";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"201.81411600000001";"0.02018141";"buurt";"stadsdeel";"156497.27189999001";"215733.0104";"ongeschikt";"gemiddeld";"onaanvaardbaar";"onaanvaardbaar";"1m00";"staalmat";"1";"0";"geen";"";"zand";"TE KLEIN";"4.4633922060000373";"51.251792217000059"
"OPR0483";"groene open ruimte";"gebruiksgroen";"hondenweide";"THOMAS GRESHAMSTRAAT";"THOMAS GRESHAMSTRAAT";"2030";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"523.63698899999997";"0.052363689999999997";"buurt";"stadsdeel";"152723.43599999";"217952.21099999";"minder geschikt";"hoog";"goed";"goed";"1m 05";"staalmat";"1";"0";"geen";"";"gras";"AFGELEGEN";"4.4078959640000335";"51.271239754000078"
"OPR0484";"groene open ruimte";"gebruiksgroen";"hondenweide";"OUDE HOFSTRAAT/KOOLHOFSTRAAT";"OUDE HOFSTRAAT";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"327.98943800000001";"0.032798939999999999";"buurt";"stadsdeel";"150990.68789999001";"207301.50690000001";"zeer geschikt";"hoog";"goed";"goed";"0m96";"staalmat";"1";"1";"onrechtstreeks";"";"gras/zand";"UITBREIDEN GEWENST";"4.382934126000066";"51.175735031000045"
"OPR0485";"groene open ruimte";"gebruiksgroen";"hondenweide";"ALFONS DE COCKSTRAAT (PLEIN)";"ALFONS DE COCKSTRAAT";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"756.11417600000004";"0.075611410000000004";"buurt";"stadsdeel";"150316.74199998999";"208856.27600000001";"zeer geschikt";"hoog";"goed";"goed";"1m03";"staalmat";"3";"0";"onrechtstreeks";"";"gras/zand";"OK";"4.3739322350000407";"51.189562572000057"
"OPR0486";"groene open ruimte";"gebruiksgroen";"hondenweide";"BOSUILPLEIN";"BOSUILPLEIN";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"";"1300.50566";"0.13005056000000001";"buurt";"stadsdeel";"156587.40900000001";"213212.23000000001";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"2";"0";"geen";"";"gras";"OK";"4.4629789290000303";"51.229559996000035"
"OPR0488";"groene open ruimte";"gebruiksgroen";"hondenweide";"HET PRIEEL";"HET PRIEEL";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"4160.0636320000003";"0.41600636000000002";"buurt";"stadsdeel";"155250.78";"208774.83799999999";"geschikt";"hoog";"goed";"goed";"1m20";"staalmat";"3";"3";"onrechtstreeks";"";"gras";"OK";"4.4430185900000652";"51.18825662100005"
"OPR0490";"groene open ruimte";"gebruiksgroen";"hondenweide";"GANZEMATE/DISTELHOEK";"GANZEMATE";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"922.99926300000004";"0.092299919999999994";"buurt";"stadsdeel";"154142.261";"215922.95300000001";"minder geschikt";"hoog";"aanvaardbaar";"aanvaardbaar";"0m95";"maasdraad zonder bovenbuis";"1";"2";"geen";"";"gras";"AANPASSEN";"4.42803688500004";"51.253398785000059"
"OPR0492";"groene open ruimte";"gebruiksgroen";"hondenweide";"HEIRMANSTRAAT";"HEIRMANSTRAAT";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"141.25951900000001";"0.01412595";"buurt";"stadsdeel";"155077.73699999999";"214283.39199999999";"minder geschikt";"hoog";"goed";"goed";"0m90";"staalmat";"1";"0";"rechtstreeks";"";"gras";"UITBREIDEN GEWENST";"4.4416270330000316";"51.238331966000032"
"OPR0494";"groene open ruimte";"gebruiksgroen";"hondenweide";"DRAKENHOF";"MORTSELSESTEENWEG";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"";"974.36718800000006";"0.097436709999999996";"buurt";"stadsdeel";"157045.79060000001";"209994.61389999001";"minder geschikt";"hoog";"goed";"goed";"1m00";"maasdraad met bovenbuis";"2";"2";"geen";"plaspaal";"gras";"OK";"4.4698038520000409";"51.197236029000067"
"OPR0495";"groene open ruimte";"gebruiksgroen";"hondenweide";"VAN COUWERVENSTRAAT";"VAN COUWERVENSTRAAT";"2040";"BERENDRECHT";"formeel groen, ingericht of bedoeld voor recreatie";"";"910.42629799999997";"0.091042620000000005";"buurt";"stadsdeel";"147034.9472";"225899.84669999999";"minder geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"0";"geen";"";"gras";"AFGELEGEN";"4.3262948870000741";"51.342897483000058"
"OPR0467";"groene open ruimte";"gebruiksgroen";"hondenweide";"BREMWEIDE";"BISSCHOPPENHOFLAAN";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"";"32112.332596";"32.112299999999998";"buurt";"stadsdeel";"157681.02899999";"213890.31399999";"zeer geschikt";"zeer hoog";"goed";"goed";"1m03";"staalmat";"5";"6";"geen";"<Null>";"gras/zand";"OK";"4.4808932070000651";"51.233868270000073"
"OPR0479";"groene open ruimte";"gebruiksgroen";"hondenweide";"STUIVENBERGPLEIN";"STUIVENBERGPLEIN";"2060";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"585.56980199999998";"0.058556980000000002";"buurt";"stadsdeel";"154247.41399999001";"213019.49100000001";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"0";"onrechtstreeks";"<Null>";"gras";"OK";"4.4290081590000341";"51.226434597000036"
"OPR0480";"groene open ruimte";"gebruiksgroen";"hondenweide";"EGLANTIERLAAN";"EGLANTIERLAAN";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"9526.4908730000006";"0.95264908000000004";"buurt";"stadsdeel";"152161.30189999001";"208386.6801";"zeer geschikt";"zeer hoog";"aanvaardbaar";"goed";"1m00";"maasdraad zonder bovenbuis";"1";"9";"onrechtstreeks";"";"gras/zand";"AANPASSEN";"4.3991575560000342";"51.185244166000075"
"OPR0496";"groene open ruimte";"gebruiksgroen";"hondenweide";"BOEKENBERGLEI";"BOEKENBERGLEI";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"";"170.96617599999999";"0.017096610000000002";"buurt";"stadsdeel";"156250.875";"209368.08499999999";"minder geschikt";"hoog";"goed";"goed";"2m00 en 1m00";"staalmat/ maasdraad";"1";"0";"onrechtstreeks";"";"gras";"TE KLEIN";"4.4581827680000288";"51.194259363000072"
"OPR0444";"groene open ruimte";"gebruiksgroen";"hondenweide";"VOGELZANGLAAN";"VOGELZANGLAAN";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"895.06244600000002";"0.089506240000000001";"buurt";"stadsdeel";"152286.90100000001";"208718.361";"minder geschikt";"gemiddeld";"goed";"goed";"1m05";"maasdraad met bovenbuis";"1";"2";"geen";"";"gras";"OK";"4.4014733700000761";"51.188449241000058"
"OPR0425";"groene open ruimte";"gebruiksgroen";"hondenweide";"GRAVENLAAN";"GRAVENLAAN";"2180";"EKEREN";"formeel groen, ingericht of bedoeld voor recreatie";"";"624.76662899999997";"0.62470000000000003";"buurt";"stadsdeel";"155230.1409";"218675.57380000001";"minder geschikt";"hoog";"goed";"goed";"0m80";"maasdraad zonder bovenbuis";"1";"0";"geen";"";"gras";"AFGELEGEN";"4.4437226040000724";"51.277924551000069"
"OPR0424";"groene open ruimte";"gebruiksgroen";"hondenweide";"HOF DE BIST";"HOF DE BIST";"2180";"EKEREN";"formeel groen, ingericht of bedoeld voor recreatie";"";"1569.2";"0.15692";"buurt";"stadsdeel";"155051.45589998999";"219501.32209999001";"ongeschikt";"hoog";"onaanvaardbaar";"slecht";"1m00";"maasdraad zonder bovenbuis";"1";"1";"geen";"";"gras";"VOLDOET NIET";"4.4411832580000237";"51.285361391000038"
"OPR0497";"groene open ruimte";"gebruiksgroen";"hondenweide";"LODEWIJK DE RAETSTRAAT";"LODEWIJK DE RAETSTRAAT";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"1062.506944";"0.106251";"buurt";"stadsdeel";"150240.217";"209069.93299999001";"geschikt";"";"goed";"goed";"0m95";"staalmat";"3";"4";"onrechtstreeks";"";"gras";"OK";"4.372199265000063";"51.191614145000074"
"OPR0498";"groene open ruimte";"gebruiksgroen";"hondenweide";"HASPENGOUWSTRAAT";"HASPENGOUWSTRAAT";"2660";"HOBOKEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"370.72000000000003";"0.036999999999999998";"buurt";"buurt";"149485.52799999001";"208167.59499998999";"ongeschikt";"";"";"";"";"";"";"";"";"";"";"TE KLEIN";"4.3614050120000343";"51.183503406000057"
"OPR0499";"groene open ruimte";"gebruiksgroen";"hondenweide";"DESGUINLEI";"SINGEL";"2018";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"";"";"buurt";"stadsdeel";"151752.96999998999";"209660.97399999";"zeer geschikt";"";"goed";"goed";"1m20";"staalmat";"";"";"onrechtstreeks";"";"gras";"OK";"4.3938411600000222";"51.196923865000031"
