"straatnaam";"huisnummer";"postcode";"type_papiermand";"opmerking";"datum_uitvoering";"uniek_nummer_papiermand";"opdracht_aan";"dc_cc";"hokje";"fase";"historiek_type";"sector";"ledigen";"point_lng";"point_lat"
"JOS CRAEYBECKXLAAN";"4";"2180";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4323021860000722";"51.281223963000059"
"BUND";"1/8";"2180";"05";" ";"2009-07-10T00:00:00";"0097";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.4262867580000602";"51.286164092000035"
"ALFONS WENSSTRAAT";"11";"2180";"05";" ";"2009-07-10T00:00:00";"0335";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4173452210000619";"51.284988724000073"
"HOF DE BIST";" ";"2180";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"groenonderhoud";"4.4421985500000574";"51.282060809000029"
"HOF DE BIST";" ";"2180";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"groenonderhoud";"4.4418189950000624";"51.281837503000077"
"HOF DE BIST";" ";"2180";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"groenonderhoud";"4.4425436580000337";"51.282072482000046"
"MARGRIETLAAN";"16";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4431865490000746";"51.280994785000075"
"KRUIDENLAAN";"33";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4466713860000482";"51.281016279000028"
"WEEGBREELAAN";"58";"2180";"05";" ";"2009-07-10T00:00:00";"0086";"vervangen";"nvt";"neen";"fase I";"01";"noord";"stadsreiniging";"4.4399210660000676";"51.279390396000053"
"SCHOUTLAAN";"22";"2180";"05";"vroeger 0233";"2009-07-10T00:00:00";"1288";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4500172150000594";"51.278551445000062"
"HENDRIK KANORASTRAAT";" ";"2180";"05";" ";"2009-07-10T00:00:00";"0185";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.4338776780000444";"51.288163126000029"
"WILLY STAESLEI";"1";"2180";"05";" ";"2009-07-10T00:00:00";"0180";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4384172230000445";"51.289349708000032"
"JOS CRAEYBECKXLAAN";"34";"2180";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4277764020000632";"51.282738445000064"
"VELTWIJCKLAAN";"221";"2180";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.437591654000073";"51.281499852000081"
"VELTWIJCKLAAN";"221";"2180";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.4377755140000659";"51.281639464000079"
"VELTWIJCKLAAN";"125";"2180";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4298255780000204";"51.28004097400003"
"VELTWIJCKLAAN";"84";"2180";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4239831130000766";"51.278191756000069"
"JAAK VAN HAESENDONCKSTRAAT";"1";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4234970640000597";"51.284539531000064"
"JAAK VAN HAESENDONCKSTRAAT";"1";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4235904970000206";"51.28463200200008"
"VAN DE WEYNGAERTPLEIN";" ";"2180";"05";" ";"2009-07-10T00:00:00";"0186";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.437963251000042";"51.293731295000043"
"KAPELSESTEENWEG";"603";"2180";"05";" ";"2009-07-10T00:00:00";"0234";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.442436333000046";"51.294434854000031"
"KAPELSESTEENWEG";"561";"2180";"05";" ";"2009-07-10T00:00:00";"0172";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4437229390000539";"51.292588615000057"
"KAPELSESTEENWEG";"505";"2180";"05";" ";"2009-07-10T00:00:00";"0173";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4465836450000324";"51.288624789000039"
"KAPELSESTEENWEG";"303";"2180";"05";" ";"2009-07-10T00:00:00";"0183";"vervangen";"nvt";"neen";"fase I";"03";"noord";"stadsreiniging";"4.4535208290000696";"51.278672250000056"
"KAPELSESTEENWEG";"113";"2180";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4578542480000465";"51.272509645000071"
"LAAR";"226";"2180";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4582239540000614";"51.271567622000077"
"BURGEMEESTER E. WAGHEMANSBRUG";" ";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4481390790000432";"51.269203767000079"
"BURGEMEESTER E. WAGHEMANSBRUG";"";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.448303084000031";"51.269198442000061"
"DE OUDE LANDEN";"56";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4409387070000435";"51.27560580100004"
"GROENENDAALLAAN";"389";"2030";"05";" ";"2012-04-05T00:00:00";"9374";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4226826790000473";"51.244957688000056"
"NOORDERLAAN";"";"2030";"05";" ";"2012-04-05T00:00:00";"9365";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.419996488000038";"51.245158676000074"
"NOORDERLAAN";"";"2030";"05";" ";"2012-04-04T00:00:00";"9498";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4204705770000601";"51.245562759000052"
"NOORDERLAAN";" ";"2030";"05";" ";"2012-04-03T00:00:00";"9414";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4198506190000444";"51.246384145000036"
"NOORDERLAAN";"63";"2030";"05";" ";"2012-04-04T00:00:00";"9478";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4204587640000454";"51.24851168400005"
"NOORDERLAAN";"63";"2030";"05";" ";"2012-04-03T00:00:00";"9501";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4198297800000432";"51.248550012000067"
"SANTIAGOSTRAAT";"15";"2030";"05";" ";"2012-04-05T00:00:00";"9316";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4210428850000199";"51.249003701000049"
"NOORDERLAAN";"2";"2030";"05";" ";"2009-08-25T00:00:00";"0612";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.420898151000074";"51.248356906000026"
"NOORDERLAAN";"104a";"2030";"05";" ";"2012-04-03T00:00:00";"9609";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4198311830000421";"51.249798549000047"
"NOORDERLAAN";"104";"2030";"05";" ";"2009-10-23T00:00:00";"1094";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4212902980000308";"51.249959602000047"
"NOORDERLAAN";"104E";"2030";"05";" ";"2009-10-23T00:00:00";"1112";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4211955730000341";"51.249962027000038"
"NOORDERLAAN";"104A";"2030";"05";" ";"2009-10-23T00:00:00";"1021";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4214115610000704";"51.249957174000031"
"RUGGEVELDLAAN";"skatepark";"2100";"05";" ";"2009-08-07T00:00:00";"0501";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4824276840000721";"51.216296574000069"
"RUGGEVELDLAAN";"748-750";"2100";"C";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.479136732000029";"51.229397257000073"
"TURNHOUTSEBAAN";"327-329";"2100";"03";" ";"";"";"verwijderen";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.4725061890000575";"51.219219894000048"
"TURNHOUTSEBAAN";"295-297";"2100";"05";" ";"2012-03-15T00:00:00";"9008";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4698206610000284";"51.219798712000056"
"TURNHOUTSEBAAN";"269";"2100";"05";" ";"2009-09-21T00:00:00";"0824";"vervangen";"nvt";"neen";"fase II";"01";"noord";"stadsreiniging";"4.4690969860000678";"51.219839370000045"
"MOLENVELD";"2-3";"2100";"C";" ";"";"";"verwijderen";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.4646761320000223";"51.220868323000047"
"GROENENDAALLAAN";"";"2030";"05";" ";"2009-08-25T00:00:00";"0383";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.4220121430000745";"51.247345034000034"
"GROENENDAALLAAN";"";"2030";"05";" ";"2009-08-25T00:00:00";"0340";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.4214125330000229";"51.247096935000059"
"GROENENDAALLAAN";" ";"2030";"05";" ";"2009-08-25T00:00:00";"0312";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.4216475800000694";"51.247396902000048"
"NOORDERLAAN";"2";"2030";"05";" ";"2009-08-25T00:00:00";"0309";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4214953510000328";"51.248169741000027"
"GROENENDAALLAAN";"";"2030";"05";" ";"2009-08-25T00:00:00";"0288";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.4226424090000478";"51.247364947000051"
"GROENENDAALLAAN";"";"2030";"05";" ";"2009-08-25T00:00:00";"0349";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4223413950000463";"51.247529330000077"
"GROENENDAALLAAN";"";"2030";"05";" ";"2009-08-25T00:00:00";"0371";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.422325307000051";"51.247391853000067"
"SANTIAGOSTRAAT";" ";"2030";"05";" ";"2009-08-25T00:00:00";"0281";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.4216229760000374";"51.248617606000039"
"SANTIAGOSTRAAT";" ";"2030";"05";" ";"2009-08-25T00:00:00";"0289";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4222133420000205";"51.24873238400005"
"COLUMBIASTRAAT";"8";"2030";"05";" ";"2009-08-25T00:00:00";"0930";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4229071280000198";"51.247883700000045"
"COLUMBIASTRAAT";"181";"2030";"05";" ";"2010-02-04T00:00:00";"0995";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4231434220000665";"51.24962411100006"
"COLUMBIASTRAAT";"199";"2030";"05";" ";"2010-02-04T00:00:00";"0963";"vervangen";"nvt";"neen";"fase II";"04";"noord";"stadsreiniging";"4.4231543740000347";"51.250387500000045"
"CANADALAAN";"154";"2030";"05";" ";"2012-04-05T00:00:00";"9335";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4216965660000369";"51.250221704000069"
"CANADALAAN";"152";"2030";"05";" ";"2009-10-23T00:00:00";"1098";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4216749940000568";"51.249911600000075"
"VENEZUELASTRAAT";"2";"2030";"05";" ";"2009-08-25T00:00:00";"0573";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4212230480000585";"51.253641704000074"
"CANADALAAN";" ";"2030";"C";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.4209957330000407";"51.253701264000028"
"UNOLAAN";"1";"2100";"C";" ";"";"";"geen opdracht";"nvt";"neen";"fase III";"";"noord";"stadsreiniging";"4.4595720780000647";"51.21871476900003"
"LAKBORSLEI";"200-202";"2100";"05";" ";"2009-09-24T00:00:00";"0733";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4548880560000725";"51.228565335000042"
"COLUMBIASTRAAT";"6";"2030";"05";" ";"2012-04-05T00:00:00";"9321";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4231556780000574";"51.253539746000058"
"COLUMBIASTRAAT";"3";"2030";"05";" ";"2012-04-05T00:00:00";"9361";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4229784430000336";"51.254274675000033"
"VENEZUELASTRAAT";"3";"2030";"05";" ";"2009-08-25T00:00:00";"0572";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4221294060000673";"51.254170429000055"
"VENEZUELASTRAAT";"3";"2030";"05";" ";"2009-08-25T00:00:00";"0256";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.4221406340000726";"51.254046763000076"
"CANADALAAN";"240";"2030";"05";"was vroeger 0957";"2009-10-23T00:00:00";"1285";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4217955020000659";"51.255440519000047"
"SOLFTPLAATS";"2";"2040";"05";" ";"2009-09-25T00:00:00";"0800";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.3145152030000418";"51.343317910000053"
"WOLLEGRASSTRAAT";"7";"2040";"05";" ";"2009-07-09T00:00:00";"0128";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.3190978540000629";"51.343667072000073"
"MONNIKENHOFSTRAAT";"112";"2040";"05";" ";"2012-03-12T00:00:00";"9258";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3229189950000659";"51.346282056000064"
"MONNIKENHOFSTRAAT";"";"2040";"05";" ";"2012-03-12T00:00:00";"9005";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3226873490000344";"51.346303378000073"
"TRIANGEL";"1";"2040";"05";" ";"2010-08-25T00:00:00";"2088";"vervangen";"nvt";"neen";"fase III";"04";"noord";"stadsreiniging";"4.3301718280000614";"51.346241759000065"
"DOMINICANENSTRAAT";"";"2040";"05";" ";"2009-07-09T00:00:00";"0199";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.3236936610000498";"51.345907063000027"
"VAN COUWERVENSTRAAT";"46";"2040";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.3263218360000337";"51.342997879000052"
"TONGERLOSTRAAT";"2";"2040";"05";" ";"2009-09-25T00:00:00";"0837";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.330338060000031";"51.347309560000042"
"HEIBLOKKEN";"";"2040";"05";" ";"2009-07-09T00:00:00";"0179";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.3384830470000679";"51.347894456000063"
"MONNIKENHOFSTRAAT";"";"2040";"05";" ";"2012-03-12T00:00:00";"9238";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3402293030000578";"51.348824689000026"
"KROMMEWEG";"1";"2040";"05";" ";"2012-03-12T00:00:00";"9302";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3378858070000206";"51.349532789000079"
"KROMMEWEG";"";"2040";"05";" ";"2012-03-12T00:00:00";"9296";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.336318034000044";"51.354276612000035"
"MONNIKENHOFSTRAAT";"197";"2040";"05";" ";"2009-10-29T00:00:00";"0217";"vervangen";"nvt";"neen";"fase II";"04";"noord";"stadsreiniging";"4.3315474580000455";"51.348263111000051"
"MONNIKENHOFSTRAAT";"234";"2040";"05";" ";"2012-03-12T00:00:00";"9106";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3315634700000487";"51.348083978000034"
"MONNIKENHOFSTRAAT";"181";"2040";"05";" ";"2009-09-25T00:00:00";"0868";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.3299193930000683";"51.347716240000068"
"ANTWERPSEBAAN";"276";"2040";"05";" ";"2012-03-12T00:00:00";"9283";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3231438900000398";"51.352664348000076"
"BURGEMEESTER VERHULSTPLEIN";"";"2040";"05";" ";"2009-07-09T00:00:00";"0214";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.3246322740000664";"51.353050144000065"
"STEENOVENSTRAAT";"13";"2040";"05";" ";"2012-03-12T00:00:00";"9261";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3262658800000509";"51.352441936000048"
"STEENOVENSTRAAT";"30A";"2040";"05";" ";"2009-09-24T00:00:00";"0846";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.3277962920000732";"51.352547095000034"
"RUYTERMANSWEG";"62";"2040";"05";" ";"2009-07-09T00:00:00";"0227";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.3295403310000324";"51.356164686000056"
"RUYTERMANSWEG";"81";"2040";"05";" ";"2012-03-12T00:00:00";"9261";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.329331393000075";"51.356219310000029"
"PUTSEBAAN";"204";"2040";"C";" ";"";"";"geen opdracht";"DC";"ja";"";"";"noord";"stadsreiniging";"4.3322735210000474";"51.35804894100005"
"BREMSTRAAT";"1";"2040";"05";" ";"2009-09-28T00:00:00";"0209";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.3256495070000369";"51.357923135000078"
"GROENENDAALLAAN";"379";"2030";"05";" ";"2012-04-05T00:00:00";"9323";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4233077050000702";"51.244670371000041"
"COGELSPLEIN";"7";"2100";"05";" ";"2009-09-24T00:00:00";"0745";"vervangen";"nvt";"neen";"fase II";"01";"noord";"stadsreiniging";"4.4545533470000578";"51.21981588500006"
"PUTSEBAAN";"112";"2040";"05";" ";"2009-09-28T00:00:00";"0871";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.3240843990000712";"51.358169893000081"
"ANTWERPSEBAAN";"337";"2040";"05";" ";"2009-09-28T00:00:00";"0811";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.3225540900000397";"51.357774566000046"
"PUTSEBAAN";"73";"2040";"05";" ";"2012-03-12T00:00:00";"9278";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3220942340000761";"51.35804786500006"
"PUTSEBAAN";"16";"2040";"05";" ";"2009-09-28T00:00:00";"0792";"vervangen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.3157043450000288";"51.359170065000058"
