"straatnaam";"huisnummer";"postcode";"type_papiermand";"opmerking";"datum_uitvoering";"uniek_nummer_papiermand";"opdracht_aan";"dc_cc";"hokje";"fase";"historiek_type";"sector";"ledigen";"point_lng";"point_lat"
"STROOMSTRAAT";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0071";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2886154380000221";"51.304414466000026"
"HAVEN - LILLO";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0068";"vervangen";"nvt";"neen";"fase I";"C";"noord";"groenonderhoud";"4.2908028440000407";"51.303138648000072"
"HAVEN - LILLO";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0106";"vervangen";"nvt";"neen";"fase I";"C";"noord";"groenonderhoud";"4.2898163630000568";"51.303224876000058"
"HAVEN - LILLO";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0119";"vervangen";"nvt";"neen";"fase I";"C";"noord";"groenonderhoud";"4.2902361470000301";"51.303160418000061"
"HAVEN - LILLO";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0159";"vervangen";"nvt";"neen";"fase I";"C";"noord";"groenonderhoud";"4.2911061050000399";"51.303077770000073"
"MARCONISTRAAT";" ";"2030";"05";" ";"2009-07-10T00:00:00";"0096";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.4089586240000358";"51.29137512300008"
"MARCONISTRAAT";" ";"2030";"05";" ";"2009-07-10T00:00:00";"0240";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.4088314510000259";"51.291528056000061"
"BREDESTRAAT";" ";"2180";"05";" ";"2009-07-10T00:00:00";"0235";"vervangen";"nvt";"neen";"fase I";"01";"noord";"stadsreiniging";"4.4130927660000339";"51.303790215000049"
"HENDRIK KANORASTRAAT";" ";"2180";"05";" ";"2009-07-10T00:00:00";"0182";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.4341259450000621";"51.288855974000057"
"VAN DE WEYNGAERTPLEIN";"21";"2180";"05";" ";"2009-07-10T00:00:00";"0201";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.4381518190000406";"51.293520932000035"
"VAN DE WEYNGAERTPLEIN";" ";"2180";"05";" ";"2009-07-10T00:00:00";"0229";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"noord";"stadsreiniging";"4.4382914950000441";"51.293759106000039"
"KAPELSESTEENWEG";"246";"2180";"03";" ";"";"";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.4494041820000234";"51.285022050000066"
"ISABELLALEI";"8";"2180";"05";" ";"2009-09-16T00:00:00";"0675";"nieuw bijplaatsen";"nvt";"neen";"fase II";"C";"noord";"stadsreiniging";"4.4429792450000605";"51.287679799000045"
"VESTINGSTRAAT";"";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0115";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2889510710000422";"51.304473391000045"
"VESTINGSTRAAT";"";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0104";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2889890740000283";"51.304411137000045"
"TOLHUISSTRAAT";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0113";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2893385170000329";"51.304247758000031"
"STROOMSTRAAT";"4";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0111";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2899742450000531";"51.303965886000071"
"KAZERNEPLEIN";"4";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0077";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2902561360000391";"51.304447401000061"
"KAZERNEPLEIN";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0161";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2908739210000704";"51.303905020000059"
"KAZERNEPLEIN";"6-9";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0112";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2910750560000679";"51.304269267000052"
"HAVENMARKT";"1";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0118";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.289908085000036";"51.304645631000028"
"OMWENTELINGSTRAAT";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0100";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2905221790000496";"51.305160088000036"
"LUITENANT NAEYAERTPLEIN";"18";"2140";"05";" ";"2009-09-11T00:00:00";"0732";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4401642080000556";"51.209840763000045"
"LUITENANT NAEYAERTPLEIN";"16";"2140";"05";" ";"2009-09-11T00:00:00";"0726";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4407931940000367";"51.209581697000033"
"MAARSCHALK MONTGOMERYPLEIN";"plein";"2140";"05";" ";"2009-09-11T00:00:00";"0722";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4381504710000286";"51.211660507000033"
"MAARSCHALK MONTGOMERYPLEIN";"plein";"2140";"05";" ";"2009-09-11T00:00:00";"0721";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4378611770000589";"51.211693110000056"
"KOXPLEIN";"12";"2140";"05";" ";"2009-08-07T00:00:00";"0307";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4342236690000618";"51.211643833000039"
"KOXPLEIN";"25";"2140";"05";" ";"2009-08-07T00:00:00";"0370";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4339704670000515";"51.211368327000059"
"KOXPLEIN";"5";"2140";"05";" ";"2009-08-07T00:00:00";"0359";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4336576690000697";"51.211497730000076"
"KRONENBURGSTRAAT";"31";"2000";"05";" ";"2010-05-07T00:00:00";"1541";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.3979807930000447";"51.211878428000034"
"KASTEELPLEINSTRAAT";"52";"2000";"05";" ";"2010-05-07T00:00:00";"1498";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4019653890000541";"51.209808725000073"
"KASTEELPLEINSTRAAT";"59";"2000";"05";"vroeger 1986";"2012-04-27T00:00:00";"9461";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4021880700000224";"51.209930076000035"
"BEGIJNENVEST";"79";"2000";"05";" ";"";"0709";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4057911320000471";"51.211018874000047"
"KASTEELPLEINSTRAAT";"5";"2000";"05";" ";"2010-05-07T00:00:00";"1517";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4011057750000759";"51.211806823000074"
"KASTEELPLEINSTRAAT";"9";"2000";"05";" ";"";"";"geen opdracht";"nvt";"neen";"";"C";"midden";"stadsreiniging";"4.4012227550000489";"51.211578681000049"
"KASTEELPLEINSTRAAT";"9";"2000";"05";" ";"";"";"vervangen";"DC";"ja";"";"C";"midden";"stadsreiniging";"4.4012286230000655";"51.211578680000059"
"NATIONALESTRAAT";"5";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4007493310000427";"51.218188171000065"
"LANGE KOEPOORTSTRAAT";"1";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4024656170000753";"51.221705979000035"
"LANGE KOEPOORTSTRAAT";"55";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4024293750000538";"51.222202689000028"
"LANGE KOEPOORTSTRAAT";"36";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4023345870000412";"51.222773003000043"
"GROTE KAUWENBERG";"21";"2000";"05";" ";"2010-09-02T00:00:00";"1857";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4113431760000594";"51.222889577000046"
"FRANS HALSPLEIN";"6";"2000";"05";" ";"2010-05-11T00:00:00";"1497";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4122273440000299";"51.220769071000063"
"FRANS HALSPLEIN";"41";"2000";"05";" ";"2010-05-11T00:00:00";"1559";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4125572930000203";"51.221169065000026"
"NATIONALESTRAAT";"18";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4001438070000631";"51.217689232000055"
"ISABELLALEI";"65";"2018";"05";" ";"2009-08-12T00:00:00";"0521";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"midden";"stadsreiniging";"4.4172143840000331";"51.204520305000074"
"KEIZERSTRAAT";"8";"2000";"05";"vroeger 1485, 1982";"2010-05-17T00:00:00";"2190";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4090494980000585";"51.221473888000048"
"KEIZERSTRAAT";"8";"2000";"05";" ";"2010-05-17T00:00:00";"1625";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4084124150000434";"51.221566098000039"
"KORTE ZAVELSTRAAT";"21";"2060";"05";" ";"2009-12-04T00:00:00";"1406";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4263234930000408";"51.22313232700003"
"DE KEYSERLEI";"20-22";"2018";"05";" ";"2010-06-22T00:00:00";"0820";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.416576707000047";"51.217662912000037"
"PELIKAANSTRAAT";"2";"2018";"05";" ";"2010-06-15T00:00:00";"1862";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4202294620000657";"51.217027242000029"
"PELIKAANSTRAAT";"to 4-8";"2018";"05";" ";"2010-06-15T00:00:00";"1723";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4204766500000687";"51.217030511000075"
"KONINGIN ASTRIDPLEIN";"29A";"2018";"05";" ";"2010-06-15T00:00:00";"1657";"nieuw bijplaatsen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4204769400000714";"51.217524604000062"
"KONINGIN ASTRIDPLEIN";"31-32";"2018";"05";" ";"2010-06-15T00:00:00";"1672";"nieuw bijplaatsen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4205127910000215";"51.21767525100006"
"KONINGIN ASTRIDPLEIN";"36";"2018";"05";" ";"2010-06-10T00:00:00";"1687";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4209133390000375";"51.218115503000035"
"KONINGIN ASTRIDPLEIN";"36";"2018";"05";" ";"2010-06-10T00:00:00";"1752";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4207140430000322";"51.218144104000032"
"KONINGIN ASTRIDPLEIN";"40";"2018";"05";" ";"2010-06-09T00:00:00";"1689";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4209513400000446";"51.218466205000027"
"KONINGIN ASTRIDPLEIN";"40";"2018";"05";"vroeger 1581";"2010-07-23T00:00:00";"9097";"geen opdracht";"CC";"ja";"fase III";"01";"midden";"stadsreiniging";"4.4207235450000439";"51.218481507000035"
"KONINGIN ASTRIDPLEIN";"41-42";"2018";"05";"vroeger 1637";"2010-07-23T00:00:00";"9221";"geen opdracht";"CC";"ja";"fase III";"01";"midden";"stadsreiniging";"4.4207513520000248";"51.218567010000072"
"KONINGIN ASTRIDPLEIN";"43-44";"2018";"05";" ";"2010-06-09T00:00:00";"1646";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4211551480000253";"51.218625000000031"
"KONINGIN ASTRIDPLEIN";"5";"2018";"05";" ";"2010-06-04T00:00:00";"1776";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4208212710000225";"51.219156933000079"
"KONINGIN ASTRIDPLEIN";"7";"2060";"05";" ";"2010-06-04T00:00:00";"1732";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4215862090000542";"51.21902721500004"
"KONINGIN ASTRIDPLEIN";"10-11";"2018";"05";" ";"2010-06-10T00:00:00";"1716";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4214930530000629";"51.218686201000025"
"KONINGIN ASTRIDPLEIN";"14";"2018";"05";" ";"2010-07-23T00:00:00";"1868";"vervangen";"DC";"ja";"fase III";"01";"midden";"stadsreiniging";"4.4215980420000278";"51.218383001000063"
"KONINGIN ASTRIDPLEIN";"19-20";"2018";"05";" ";"2010-06-09T00:00:00";"1662";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4213426420000701";"51.218326509000065"
"QUINTEN MATSIJSLEI";"47-48";"2018";"05";" ";"2009-10-27T00:00:00";"1009";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.41764325500003";"51.211432598000044"
"QUELLINSTRAAT";"51";"2018";"05";" ";"2010-06-18T00:00:00";"1934";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4156513620000624";"51.215255844000069"
"QUELLINSTRAAT";"18-22";"2018";"05";" ";"2010-06-18T00:00:00";"1903";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4162580270000262";"51.216785829000059"
"QUELLINSTRAAT";"1";"2018";"05";" ";"2010-06-21T00:00:00";"1167";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4166959650000308";"51.217318022000029"
"DE CONINCKPLEIN";"11";"2060";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.419988318000037";"51.221399903000076"
"DE CONINCKPLEIN";"9-10";"2060";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4201197840000646";"51.221384366000052"
"SINT-PAULUSPLAATS";"plein";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.401351815000055";"51.225242417000061"
"PAARDENMARKT";"6";"2000";"05";"prioriteit";"2009-06-10T00:00:00";"0063";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4077804700000343";"51.224956529000053"
"PAARDENMARKT";"32";"2000";"05";"prioriteit";"2009-06-10T00:00:00";"0050";"vervangen";"nvt";"neen";"fase I";"01";"midden";"stadsreiniging";"4.409048877000032";"51.224998668000069"
"PAARDENMARKT";"56";"2000";"05";"prioriteit";"2009-06-11T00:00:00";"0022";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4106465080000703";"51.225012036000066"
"PAARDENMARKT";"74";"2000";"05";"prioriteit";"2009-06-11T00:00:00";"0040";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4119465890000242";"51.224866114000065"
"PAARDENMARKT";"82";"2000";"05";"prioriteit";"2009-06-11T00:00:00";"0051";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4123939620000669";"51.224793228000067"
"PAARDENMARKT";"92";"2000";"05";"prioriteit";"2010-09-02T00:00:00";"1924";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4131605440000499";"51.224688220000075"
"PAARDENMARKT";"106";"2000";"05";"prioriteit";"2009-06-11T00:00:00";"0013";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4142518310000582";"51.224455354000042"
"LAMMEKENSRAAMVELD";"";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4111285220000696";"51.215900183000031"
"LAMMEKENSRAAMVELD";"";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4114206360000594";"51.215926824000064"
"GRAANMARKT";"";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4085545340000749";"51.216042511000069"
"GRAANMARKT";"";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4085969610000575";"51.215839942000059"
"GRAANMARKT";"";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4081103160000339";"51.216050314000029"
"GRAANMARKT";"";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4081222910000406";"51.215832457000033"
"DE CONINCKPLEIN";"13";"2060";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4200629340000432";"51.221463139000036"
"KERKSTRAAT";"91";"2060";"05";" ";"2009-08-25T00:00:00";"0337";"vervangen";"nvt";"neen";"fase I";"01";"midden";"stadsreiniging";"4.4320122700000297";"51.219097747000035"
"KERKSTRAAT";"90";"2060";"05";" ";"2009-08-25T00:00:00";"0277";"vervangen";"nvt";"neen";"fase I";"01";"midden";"stadsreiniging";"4.4314962670000568";"51.219077147000064"
"KERKSTRAAT";"72-74";"2060";"05";" ";"2009-08-25T00:00:00";"0410";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"midden";"stadsreiniging";"4.4310971530000529";"51.218739354000036"
"KERKSTRAAT";"74-76";"2060";"05";" ";"2009-08-25T00:00:00";"0284";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"midden";"stadsreiniging";"4.4309834370000658";"51.218926742000065"
"VAN EYCKLEI";"7";"2018";"05";"vroeger 1726";"2012-04-13T00:00:00";"9515";"geen opdracht";"CC";"ja";"fase III";"04";"midden";"stadsreiniging";"4.4118159290000563";"51.210945947000027"
"STADSPARK";"3";"2018";"05";" ";"2009-11-02T00:00:00";"1022";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4110362380000652";"51.211132846000055"
"STADSPARK";"3";"2018";"05";" ";"2009-11-02T00:00:00";"1074";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4111422390000712";"51.211367747000054"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.411553346000062";"51.21148714900005"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4115891490000649";"51.211590548000061"
"HOF VAN TICHELEN";"43-44";"2020";"04";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"zuid";"stadsreiniging";"4.3865772860000334";"51.181962426000041"
"LANGE GASTHUISSTRAAT";"plein";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4046909640000536";"51.213877285000081"
"LANGE GASTHUISSTRAAT";"plein";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4045328610000638";"51.213975290000064"
"LANGE GASTHUISSTRAAT";"plein";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4047857680000675";"51.214010589000054"
"MECHELSEPLEIN";"3-5";"2000";"01";" ";"";"";"geen opdracht";"DC";"ja";"";"";"midden";"stadsreiniging";"4.4051497040000527";"51.213500381000074"
"MECHELSEPLEIN";"plein";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4047289620000356";"51.213413686000081"
"MECHELSEPLEIN";"9-11";"2000";"05";" ";"2012-04-27T00:00:00";"9544";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4049668340000494";"51.213318171000026"
"MECHELSEPLEIN";"8";"2000";"05";" ";"2012-04-27T00:00:00";"9519";"geen opdracht";"CC";"ja";"";"01";"midden";"stadsreiniging";"4.4048500800000738";"51.21318632100008"
"KAREL OOMSSTRAAT";"5";"2018";"05";" ";"2009-11-02T00:00:00";"1060";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4097643880000419";"51.196416990000046"
"PAARDENMARKT";"17";"2000";"05";"prioriteit";"2009-06-10T00:00:00";"0027";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4080112180000697";"51.225134986000057"
"PAARDENMARKT";"109";"2000";"05";"vroeger 1941";"2012-04-25T00:00:00";"9351";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4133662720000757";"51.224833923000062"
"HESSENBRUG";"";"2000";"05";"prioriteit";"2009-06-10T00:00:00";"0046";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.409601427000041";"51.225293210000075"
"STADSWAAG";"7";"2000";"05";" ";"2010-05-20T00:00:00";"1440";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4074274130000504";"51.224050638000051"
"STADSWAAG";"15";"2000";"05";" ";"2010-05-17T00:00:00";"1528";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4073671960000524";"51.223803073000056"
"BLINDESTRAAT";"1";"2000";"05";" ";"2010-05-18T00:00:00";"1580";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4063721370000621";"51.222901860000036"
"VERVERSRUI";"7";"2000";"05";" ";"2010-05-20T00:00:00";"1629";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4034345910000638";"51.226054163000072"
"VERVERSRUI";"34";"2000";"05";" ";"2010-05-19T00:00:00";"1605";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4044672530000639";"51.225730901000077"
"ANKERRUI";"";"2000";"05";"vroeger 1994";"2012-04-24T00:00:00";"9400";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4134556620000467";"51.22651357400008"
"ANKERRUI";"";"2000";"05";"vroeger 2074, 2189";"2012-04-24T00:00:00";"9433";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4138024700000642";"51.226166272000057"
"ITALIELEI";"44";"2000";"05";"vroeger 2055";"2012-04-24T00:00:00";"9463";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4149791870000286";"51.224271215000044"
"HERENTALSEBAAN";"154";"2100";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"zuid";"stadsreiniging";"4.459710666000035";"51.209379944000034"
"HERENTALSEBAAN";"147";"2100";"05";" ";"2012-03-21T00:00:00";"9326";"geen opdracht";"CC";"ja";"";"";"zuid";"stadsreiniging";"4.4595096880000256";"51.209540589000028"
"HERENTALSEBAAN";"145";"2100";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"zuid";"stadsreiniging";"4.4592275340000356";"51.209675321000077"
"FRANKRIJKLEI";"8";"2000";"05";" ";"2010-05-10T00:00:00";"1489";"vervangen";"nvt";"neen";"fase III";"B";"midden";"stadsreiniging";"4.4155364210000698";"51.219305548000079"
"FRANKRIJKLEI";"36";"2000";"05";" ";"2010-05-10T00:00:00";"1596";"vervangen";"nvt";"neen";"fase III";"B";"midden";"stadsreiniging";"4.4151721220000582";"51.218414666000058"
"TENIERSPLAATS";"9";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4149630920000504";"51.218180818000064"
"TENIERSPLAATS";"4";"2000";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4148514560000649";"51.217970947000026"
"FRANKRIJKLEI";"46";"2000";"05";" ";"2010-08-17T00:00:00";"2045";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4146582630000353";"51.217613097000026"
"DE KEYSERLEI";"6";"2018";"05";" ";"2010-06-22T00:00:00";"1244";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4160410390000493";"51.217744775000028"
"QUELLINSTRAAT";"36";"2018";"05";" ";"2010-06-18T00:00:00";"1495";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4160667660000286";"51.216336900000044"
"QUELLINSTRAAT";"52";"2018";"05";" ";"2010-06-18T00:00:00";"1893";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4158132680000222";"51.21568304300007"
"LOUIZA-MARIALEI";"8";"2018";"05";" ";"2009-11-02T00:00:00";"1109";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4126869370000463";"51.213057674000027"
"QUINTEN MATSIJSLEI";"";"2018";"05";" ";"";"";"geen opdracht";"DC";"ja";"";"C";"midden";"stadsreiniging";"4.4155592670000487";"51.214534004000029"
"QUINTEN MATSIJSLEI";"";"2018";"05";" ";"";"";"geen opdracht";"DC";"ja";"";"C";"midden";"groenonderhoud";"4.4172011700000553";"51.211250068000027"
"QUINTEN MATSIJSLEI";"39";"2018";"05";" ";"2009-11-02T00:00:00";"0922";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4173220540000671";"51.212111198000059"
"VAN EYCKLEI";"42";"2018";"05";"vroeger 0233";"2012-04-13T00:00:00";"9425";"geen opdracht";"CC";"ja";"fase III";"04";"midden";"stadsreiniging";"4.4170459550000487";"51.210343200000068"
"CHARLOTTALEI";"plein";"2018";"05";" ";"2012-04-13T00:00:00";"9535";"geen opdracht";"CC";"ja";"";"C";"midden";"stadsreiniging";"4.417857275000074";"51.209969387000058"
"LOOSPLAATS";"plein";"2018";"05";" ";"2009-11-02T00:00:00";"0892";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.418251529000031";"51.20996991100003"
"BRIALMONTLEI";"28";"2018";"05";" ";"2009-11-02T00:00:00";"0979";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4206268010000258";"51.209737432000054"
"HERENTALSEBAAN";"tov 316";"2100";"05";" ";"2009-08-07T00:00:00";"0504";"vervangen";"nvt";"neen";"fase I";"C";"zuid";"stadsreiniging";"4.4652383770000483";"51.207599231000074"
"HERENTALSEBAAN";"326";"2100";"05";" ";"2009-08-07T00:00:00";"0505";"vervangen";"nvt";"neen";"fase I";"01";"zuid";"stadsreiniging";"4.4655932110000549";"51.207290399000044"
"HERENTALSEBAAN";"388";"2100";"05";" ";"2009-08-07T00:00:00";"0619";"vervangen";"nvt";"neen";"fase I";"01";"zuid";"stadsreiniging";"4.4676983310000651";"51.206426173000068"
"HERENTALSEBAAN";"517";"2100";"05";" ";"2012-03-21T00:00:00";"9354";"geen opdracht";"CC";"ja";"";"";"zuid";"stadsreiniging";"4.476012145000027";"51.205043849000049"
"HERENTALSEBAAN";"545";"2100";"05";" ";"2012-03-21T00:00:00";"9438";"geen opdracht";"CC";"ja";"";"";"zuid";"stadsreiniging";"4.477117382000074";"51.205005149000044"
"PLANTIN EN MORETUSLEI";"12";"2018";"05";"vroeger 1917";"2012-04-13T00:00:00";"9578";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4191333310000687";"51.210274965000053"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.415021983000031";"51.214203636000036"
