"title";"description";"address";"gisx";"gisy";"image";"link"
"Zwembad Arena - Deurne";"Troeven: 25-meterzwembad, instructiebad (8 op 16 meter), grote glijbaan";"Gabri&#235;l Vervoortstraat 8, 2100 Deurne";"4.4602449";"51.2076565";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/2012_nieuwe_openingsuren_zwembaden.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2994"
"Sportcentrum \'t Venneke - Ekeren";"U kunt in deze sporthal terecht voor atletiek, badminton, basketbal, handbal, korfbal, volleybal en zaalvoetbal. Daarnaast is er ook een sportzaal die geschikt is voor gevechtssporten.";"Den Geer 21, 2180 Ekeren";"4.4291644";"51.2822128";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_tvenneke_02.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2996"
"Sportzaal Blarenstraat - Ekeren";"U kan in deze sporthal terecht voor gymnastiek en dans.";"Blarenstraat 19, 2180 Ekeren";"4.4198962";"51.2817168";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3001"
"Sportzaal Schriek - Ekeren";"U kan in deze sporthal terecht voor gymnastiek, vechtsport, curve bowl en dans.";"Schriek 358, 2180 Ekeren";"4.4426923";"51.2915480";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3005"
"Sportcentrum \'t Venneke (Ekeren)";"U kunt hier terecht voor drie openluchttennisterreinen.";"Den Geer 21, 2180 Ekeren";"4.4291644";"51.2822128";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3011"
"Sportcentrum De Schinde (Ekeren)";"U kunt hier terecht voor een atletiekpiste en een voetbalterrein.";"Oorderseweg 83, 2180 Ekeren";"4.4146512";"51.2801220";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3014"
"Zwembad De Schinde - Ekeren";"Troeven: 25-meterzwembad, instructiebad (6,5 op 12 meter), geschikt voor scholen en clubs";"Oorderseweg 83, 2180 Ekeren";"4.4146512";"51.2801220";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/2012_nieuwe_openingsuren_zwembaden.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3027"
"Sportcentrum Sorghvliedt - Hoboken";"U kunt in deze sporthal terecht voor basketbal, handbal, korfbal, tennis, volleybal en zaalvoetbal.";"Krijgsbaan 20, 2660 Hoboken";"4.3535952";"51.1673020";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_sorghvliedt_01_web.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3032"
"Sporthal Fort VIII - Hoboken";"U kunt hier terecht voor atletiek, badminton, baseball, handbal, korfbal, volleybal en zaalvoetbal.";"Schansstraat, 2660 Hoboken";"4.3495301";"51.1674894";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_fortviii_02.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3035"
"Sporthal Notelaar - Hoboken";"U kunt hier terecht voor basketbal, handbal, tennis, volleybal en zaalvoetbal.";"Oudestraat 51, 2660 Hoboken";"4.3532833";"51.1763910";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_notelaar_01.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3045"
